SL. No.,State/UT/City,Gain - Murder,Gain - Culpable Homicide Not Amounting to Murder (C.H.),Property Dispute - Murder,Property Dispute - Culpable Homicide Not Amounting to Murder (C.H.),Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - Culpable Homicide Not Amounting to Murder (C.H.),Love Affairs/Sexual Causes - Murder,Love Affairs/Sexual Causes - Culpable Homicide Not Amounting to Murder (C.H.),Dowry - Murder,Dowry - Culpable Homicide Not Amounting to Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homicide Not Amounting to Murder (C.H.),Communalism - Murder,Communalism - Culpable Homicide Not Amounting to Murder (C.H.),Castism - Murder,Castism - Culpable Homicide Not Amounting to Murder (C.H.),Class Conflict - Murder,Class Conflict - Culpable Homicide Not Amounting to Murder (C.H.),Other Motives - Murder,Other Motives - Culpable Homicide Not Amounting to Murder (C.H.),Total - Murder,Total - Culpable Homicide Not Amounting to Murder (C.H.)
1,Andhra Pradesh,158,0,192,1,524,5,373,4,57,2,1,0,8,0,2,0,3,0,1462,62,2780,74
2,Arunachal Pradesh,2,0,4,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,28,3,55,3
3,Assam,212,13,153,9,175,11,73,5,26,1,2,1,17,1,0,0,3,0,450,19,1111,60
4,Bihar,1245,164,1182,111,812,77,284,26,139,10,12,0,8,2,35,0,14,2,1381,239,5112,631
5,Goa,2,0,3,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,19,6,34,7
6,Gujarat,58,0,155,1,126,0,172,1,25,0,16,0,119,0,11,0,30,0,910,9,1622,11
7,Haryana,22,0,92,8,128,19,38,1,8,16,0,0,0,0,0,0,0,0,299,46,587,90
8,Himachal Pradesh,7,0,19,4,31,8,13,0,1,0,1,0,0,0,1,0,0,0,58,12,131,24
9,Jammu & Kashmir,9,0,13,1,16,0,3,0,4,0,0,0,0,0,0,0,0,0,644,17,689,18
10,Karnataka,77,0,143,0,194,0,185,0,38,2,0,0,40,0,4,0,23,0,761,74,1465,76
11,Kerala,21,0,32,0,255,2,7,1,1,3,3,0,17,0,0,0,6,0,202,31,544,37
12,Madhya Pradesh,109,0,420,1,594,3,202,3,37,85,35,0,93,0,6,0,3,0,2046,116,3545,208
13,Maharashtra,126,9,181,2,338,0,334,3,98,47,16,4,64,4,23,0,38,0,1988,63,3206,132
14,Manipur,0,0,4,0,9,0,2,0,0,0,0,0,2,0,0,0,1,0,123,0,141,0
15,Meghalaya,6,0,6,0,17,0,2,0,0,1,0,0,11,0,0,0,0,0,70,2,112,3
16,Mizoram,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,29,7
17,Nagaland,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,62,6,70,6
18,Orissa,24,21,48,10,109,2,52,0,12,3,0,0,0,0,0,0,0,2,515,76,760,114
19,Punjab,10,2,76,11,88,7,59,6,22,14,0,0,0,0,0,0,0,0,1620,72,1875,112
20,Rajasthan,79,0,186,1,246,4,32,0,146,12,15,2,11,0,6,0,3,1,749,60,1473,80
21,Sikkim,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,8,1,17,1
22,Tamil Nadu,130,0,184,0,319,0,11,0,2,0,229,5,2,0,0,0,85,4,607,14,1569,23
23,Tripura,60,0,28,0,83,0,15,1,2,0,0,0,0,0,0,0,0,0,79,0,267,1
24,Uttar Pradesh,529,64,773,175,2062,235,479,34,1499,13,34,2,41,0,71,0,4,10,5067,1195,10559,1728
25,West Bengal,142,61,139,129,364,153,87,16,19,2,0,5,9,2,0,0,0,0,1010,411,1770,779
Total (States),Total (States),3038,334,4034,465,6512,526,2441,101,2136,211,364,19,442,9,159,0,215,19,20182,2541,39523,4225
26,A & N Islands,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0
27,Chandigarh,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,9,5,14,5
28,D & N Haveli,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1
29,Daman & Diu,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0
30,Delhi,31,0,56,29,79,34,70,0,5,0,0,0,0,0,0,0,0,0,280,326,521,389
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,1,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,9,1,29,1
Total (UTs),Total (UTs),32,0,57,29,100,34,77,0,5,0,0,0,0,0,0,0,0,0,311,333,582,396
Total (All -India),Total (All -India),3070,334,4091,494,6612,560,2518,101,2141,211,364,19,442,9,159,0,215,19,20493,2874,40105,4621
33,Ahmedabad,4,0,7,0,15,0,4,0,6,0,0,0,27,0,0,0,0,0,95,3,158,3
34,Bangalore,11,0,4,0,11,0,11,0,9,1,0,0,3,0,0,0,0,0,102,1,151,2
35,Bhopal,5,0,11,0,61,0,3,0,2,20,0,0,0,0,0,0,34,0,0,0,116,20
36,Bombay,51,0,24,0,103,0,22,1,4,0,0,0,55,4,0,0,0,0,228,0,487,5
37,Calcutta,5,0,4,0,44,15,0,0,2,0,0,0,1,0,0,0,0,0,27,8,83,23
38,Coimbatore,4,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,27,0
39,Delhi,28,0,44,24,68,32,58,0,5,0,0,0,0,0,0,0,0,0,215,301,418,357
40,Hyderabad,12,0,4,0,13,0,2,0,0,0,1,0,0,0,0,0,0,0,121,6,153,6
41,Indore,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,88,0,93,0
42,Jaipur,1,0,4,0,17,0,3,0,6,0,0,0,0,0,5,0,0,0,11,1,47,1
43,Kanpur,6,0,5,0,0,0,19,1,64,0,56,3,30,0,0,0,0,0,106,23,286,27
44,Kochi,0,0,1,0,10,0,0,0,0,0,1,0,3,0,0,0,0,0,6,0,21,0
45,Lucknow,10,0,5,0,15,2,8,1,17,0,0,0,3,0,0,0,0,0,54,12,112,15
46,Ludhiana,0,1,2,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,59,6,69,8
47,Madras,4,0,7,0,36,0,21,0,0,0,0,0,0,0,0,0,0,0,38,7,106,7
48,Madurai,2,0,3,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,13,0,36,0
49,Nagpur,0,0,1,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,100,1,131,1
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,3,0,1,0,5,0,9,0,1,0,0,0,0,0,0,0,0,0,86,2,105,2
52,Surat,0,0,10,0,10,0,12,0,1,0,0,0,65,0,0,0,0,0,64,1,162,1
53,Vadodara,0,0,9,0,8,0,3,0,2,0,0,0,2,0,0,0,0,0,28,2,52,2
54,Varanasi,0,0,6,0,18,0,2,0,14,0,0,0,0,0,0,0,0,0,32,26,72,26
55,Vishakhapatnam,4,0,3,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,18,1,31,1
