SL. No.,State/UT,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abuduction - Total - Male,Kidnapping & Abuduction - Total - Female,Kidnapping & Abuduction - Total - Total,Kidnapping & Abuduction - of Women & Girls - Male,Kidnapping & Abuduction -of Women & Girls - Female,Kidnapping & Abuduction - of Women & Girls - Total,Kidnapping & Abuduction - of Others - Male,Kidnapping & Abuduction - of Others - Female,Kidnapping & Abuduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly For Dacoity - Male,Preparation & Assembly For Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable crimes under IPC - Female,Total Cognizable Crimes under IPC - Total
1,Andhra Pradesh,7888,181,8069,3750,42,3792,149,0,149,1054,2,1056,1145,83,1228,613,73,686,532,10,542,2484,2,2486,16,0,16,1926,6,1932,6570,9,6579,13916,236,14152,27630,821,28451,507,78,585,1354,43,1397,60,0,60,83484,3415,86899,151933,4918,156851
2,Arunachal Pradesh,65,5,70,40,1,41,4,0,4,26,0,26,80,3,83,41,2,43,39,1,40,44,0,44,0,0,0,78,0,78,184,2,186,311,7,318,110,1,111,34,0,34,25,0,25,2,2,4,1243,47,1290,2246,68,2314
3,Assam,1593,0,1593,293,0,293,80,0,80,538,0,538,1316,11,1327,1145,11,1156,171,0,171,2038,0,2038,52,0,52,1364,0,1364,3598,4,3602,7622,45,7667,16075,44,16119,558,0,558,665,2,667,34,0,34,18277,43,18320,54103,149,54252
4,Bihar,9946,237,10183,11234,167,11401,1413,29,1442,1741,0,1741,5178,227,5405,1800,130,1930,3378,97,3475,8306,79,8385,1282,5,1287,4770,10,4780,6462,22,6484,26564,565,27129,70371,481,70852,2229,5,2234,2440,19,2459,27,0,27,109009,1175,110184,260972,3021,263993
5,Goa,74,4,78,19,0,19,5,4,9,16,0,16,31,1,32,20,1,21,11,0,11,6,0,6,0,0,0,47,0,47,423,9,432,569,24,593,1527,160,1687,44,4,48,42,0,42,0,0,0,2260,183,2443,5063,389,5452
6,Gujarat,3602,215,3817,3341,112,3453,35,1,36,484,24,508,1331,79,1410,1013,63,1076,318,16,334,1696,26,1722,0,0,0,1563,35,1598,5360,160,5520,13347,586,13933,17469,1073,18542,2648,98,2746,2666,120,2786,12,0,12,107216,7829,115045,160770,10358,171128
7,Haryana,1401,51,1452,1095,10,1105,242,3,245,361,3,364,386,6,392,267,2,269,119,4,123,223,1,224,126,0,126,447,2,449,2062,18,2080,3131,24,3155,3289,131,3420,293,0,293,589,6,595,6,0,6,30134,607,30741,43785,862,44647
8,Himachal Pradesh,225,9,234,83,5,88,44,1,45,121,3,124,142,8,150,128,8,136,14,0,14,18,0,18,0,0,0,39,0,39,448,23,471,553,8,561,2152,261,2413,120,2,122,143,3,146,1,0,1,7022,878,7900,11111,1201,12312
9,Jammu & Kashmir,279,11,290,988,7,995,10,0,10,136,0,136,347,10,357,342,10,352,5,0,5,10,0,10,0,0,0,26,0,26,428,0,428,1825,17,1842,2908,225,3133,116,0,116,135,1,136,0,0,0,9289,635,9924,16497,906,17403
10,Karnataka,3184,159,3343,2255,44,2299,134,7,141,272,9,281,586,28,614,327,27,354,259,1,260,1388,3,1391,14,0,14,676,1,677,3547,10,3557,8333,133,8466,43585,2107,45692,377,8,385,864,27,891,81,0,81,72108,4399,76507,137404,6935,144339
11,Kerala,1245,62,1307,2596,35,2631,49,2,51,256,5,261,188,39,227,85,13,98,103,26,129,414,0,414,0,0,0,314,1,315,2477,18,2495,3221,79,3300,36662,795,37457,243,6,249,953,31,984,168,2,170,63620,3384,67004,112406,4459,116865
12,Madhya Pradesh,8287,402,8689,8991,270,9261,409,66,475,3902,73,3975,1935,42,1977,1693,35,1728,242,7,249,1816,4,1820,779,0,779,3018,39,3057,13122,249,13371,21207,471,21678,27440,683,28123,929,16,945,2114,68,2182,15,0,15,193956,7033,200989,287920,9416,297336
