SL. No.,Crime Head,Total Number of Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Arms Act,78491,1582,2,65148,83,11761,15
2,Narcotic Drugs & Psychotropic Substances Act,34756,2082,6,20768,59.8,11906,34.3
3,Gambling Act,370319,858,0.2,353058,95.3,16403,4.4
4,Excise Act,114478,2684,2.3,95963,83.8,15831,13.8
5,Prohibition Act,735378,7128,1,604333,82.2,123917,16.9
6,Explosive & Explosive Substances Act,10702,493,4.6,5921,55.3,4288,40.1
7,Immoral Traffic (P) Act,14608,71,0.5,12832,87.8,1705,11.7
8,Indian Railways Act,30188,638,2.1,27952,92.6,1598,5.3
9,Registration of Foreigners Act,3639,103,2.8,3263,89.7,273,7.5
10,Protection Of Civil Rights Act,9509,370,3.9,7951,83.6,1188,12.5
11,Indian Passport Act,2128,164,7.7,1565,73.5,399,18.8
12,Essential Commodities Act,14108,773,5.5,8536,60.5,4799,34
13,Terrorist & Disruptive Activites Act,7885,914,11.6,1788,22.7,5183,65.7
14,Antiquity & Art Treasure Act,86,24,27.9,59,68.6,3,3.5
15,Dowry Prohibition Act,6286,398,6.3,3962,63,1926,30.6
16,Other LSL Crimes,3227998,129979,4,2943365,91.2,154654,4.8
17,Total Cognizable Crimes Under LSL,4660559,148261,3.2,4156464,89.2,355834,7.6
