SL. No.,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
1,Andhra Pradesh,579,8,587,220,41,261,37763,1,37764,2843,123,2966,0,0,0,553,1,554,189,885,1074,13,0,13,12,0,12,587,28,615,0,0,0,14,0,14,334,7,341,9,0,9,94,48,142,611282,5848,617130,654492,6990,661482
2,Arunachal Pradesh,21,0,21,61,2,63,0,0,0,0,0,0,0,0,0,18,1,19,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,7,0,7,4,0,4,0,0,0,0,0,0,34,0,34,149,3,152
3,Assam,424,0,424,237,3,240,588,0,588,425,2,427,152,1,153,48,0,48,3,2,5,8,0,8,25,0,25,0,0,0,26,0,26,41,0,41,936,34,970,1,0,1,55,3,58,1218,16,1234,4187,61,4248
4,Bihar,5477,15,5492,233,2,235,1155,3,1158,2712,4,2806,0,0,0,1000,22,1022,40,0,40,191,8,199,19,3,22,69,0,69,0,0,0,932,5,937,0,0,0,0,0,0,1437,339,1776,3980,34,4014,17245,525,17770
5,Goa,5,1,6,42,2,44,1840,3,1843,0,0,0,0,0,0,14,3,17,0,86,86,1,0,1,8,0,8,1,0,1,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,479,29,508,2409,124,2533
6,Gujarat,635,1,636,348,7,355,32499,12,32511,0,0,0,116324,45564,161888,83,2,85,7,9,16,1168,16,1184,79,0,79,324,14,338,636,1,637,328,0,328,0,0,0,0,0,0,4,2,6,59262,4719,63981,211697,50347,262044
7,Haryana,1744,0,1744,897,12,909,4977,0,4977,15319,49,15368,0,0,0,38,0,38,0,0,0,1677,0,1677,4,0,4,5,0,5,0,0,0,212,0,212,11,1,12,0,0,0,0,0,0,4178,19,4197,29062,81,29143
8,Himachal Pradesh,32,0,32,85,4,89,238,0,238,3804,780,4584,0,0,0,11,0,11,0,0,0,1,0,1,3,0,3,33,0,33,0,0,0,33,0,33,8,0,8,0,0,0,3,3,6,779,5,784,5030,792,5822
9,Jammu & Kashmir,254,0,254,69,0,69,6,0,6,3,0,3,0,0,0,26,0,26,0,2,2,0,0,0,54,0,54,6,0,6,14,0,14,187,0,187,329,2,331,0,0,0,3,1,4,617,49,666,1568,54,1622
10,Karnataka,159,0,159,128,29,157,18296,3,18299,1330,57,1387,36,0,36,89,0,89,447,3500,3947,40,0,40,33,11,44,2055,81,2136,14,0,14,741,7,748,18,0,18,5,0,5,581,236,817,524289,1784,526073,548261,5708,553969
