SL. No.,State/UT,Rape,Kidnapping & Abduction,Dowry Deaths,Cruelty by Husband and Relatives,Molestation,Eveteasing,Total
1,Andhra Pradesh,599,547,344,1245,1721,1056,5512
2,Arunachal Pradesh,18,29,0,4,40,1,92
3,Assam,423,650,24,161,192,13,1463
4,Bihar,731,419,243,297,317,21,2028
5,Goa,10,19,0,6,26,8,69
6,Gujarat,232,718,125,800,802,227,2904
7,Haryana,131,131,126,159,186,234,967
8,Himachal Pradesh,54,124,21,75,194,5,473
9,Jammu & Kashmir,118,325,8,11,327,135,924
10,Karnataka,159,262,216,815,806,32,2290
11,Kerala,174,113,11,184,685,3,1170
12,Madhya Pradesh,2302,1271,397,1065,6300,604,11939
13,Maharashtra,859,898,858,4887,2782,603,10887
14,Manipur,14,84,1,1,28,0,128
15,Meghalaya,29,7,0,1,7,0,44
16,Mizoram,63,3,0,1,39,0,106
17,Nagaland,1,3,0,1,0,1,6
18,Orissa,239,187,64,175,614,60,1339
19,Punjab,57,99,103,43,45,9,356
20,Rajasthan,740,2044,166,840,1412,33,5235
21,Sikkim,3,2,0,0,5,0,10
22,Tamil Nadu,243,414,86,180,593,978,2494
23,Tripura,74,66,5,49,145,1,340
24,Uttar Pradesh,1524,2124,1516,1028,2345,2114,10651
25,West Bengal,543,458,420,1297,357,229,3304
Total (States),Total (States),9340,10997,4734,13325,19968,6367,64731
26,A & N Islands,3,9,0,5,14,7,38
27,Chandigarh,11,21,0,13,4,13,62
28,D & N Haveli,3,4,0,0,5,0,12
29,Daman & Diu,1,0,0,6,1,0,8
30,Delhi,150,663,102,97,176,2061,3249
31,Lakshadweep,0,0,0,0,0,0,0
32,Pondicherry,10,5,0,4,26,172,217
Total (UTs),Total (UTs),178,702,102,125,226,2253,3586
Total (All -India),Total (All -India),9518,11699,4836,13450,20194,8620,68317
