SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,538,98.1,437,58.9,0,0,9,0.4,5,11.1,14,0.5,216,15.5,1219,184.5
2,Arunachal Pradesh,25,1.7,4,1.5,0,0,0,0,0,0,8,1.3,17,2,54,6.6
3,Assam,438,27.8,86,9.9,0,0,4,0.4,5,1.2,60,1.2,448,43.2,1041,83.7
4,Bihar,1125,83.5,2115,54.2,0,0,89,6.3,26,35.9,71,7.9,82,51.3,3508,239.1
5,Goa,10,1.1,1,0.1,0,0,0,0,0,0,0,0,14,0.3,25,1.6
6,Gujarat,182,28.4,79,24,3,0,6,0.5,0,0,37,11.3,841,158.6,1148,222.8
7,Haryana,80,20.1,31,25.2,0,0,2,0.1,0,0,7,0.7,126,58.7,246,104.8
8,Himachal Pradesh,6,0.1,0,0,0,0,1,0,1,0,1,0.1,25,7.5,34,7.7
9,Jammu & Kashmir,21,4.5,7,14.5,0,0,0,0,0,0,0,0,49,34.2,77,53.3
10,Karnataka,155,23.3,32,9.5,0,0,6,0.3,5,14.5,37,12.9,350,104.1,585,164.6
11,Kerala,54,7.1,17,7,1,0.2,0,0,2,0.1,8,3.9,129,32.6,211,50.9
12,Madhya Pradesh,435,21.7,270,21.1,0,0,43,3.8,3,0.6,204,20.1,1373,179.9,2328,247.1
13,Maharashtra,619,296.4,356,90.2,5,1.9,84,6.4,4,1.9,301,91.2,2555,689.4,3924,1177.4
14,Manipur,12,1.4,7,1.6,0,0,0,0,0,0,0,0,41,20.1,60,23.1
15,Meghalaya,7,0.3,33,1.6,0,0,0,0,0,0,12,0.7,34,5.1,86,7.7
16,Mizoram,13,0.5,8,0,0,0,0,0,0,0,0,0,14,0.2,35,0.7
17,Nagaland,19,4.4,38,64.8,0,0,0,0,0,0,30,3.1,43,6,130,78.3
18,Orissa,381,17,63,4.2,0,0,0,0,0,0,1,0,469,202.4,914,223.6
19,Punjab,83,32.3,15,24.3,0,0,0,0,2,1.6,8,3.3,51,15.4,159,77.1
20,Rajasthan,39,3.5,47,25.8,1,0,17,0.4,0,0,5,0.9,1119,118,1228,148.6
21,Sikkim,0,0,2,0,0,0,0,0,0,0,0,0,3,0,5,0.1
22,Tamil Nadu,215,53.2,74,19.2,1,0.6,5,4.5,2,0,14,1.2,191,7.1,502,85.8
23,Tripura,143,2.6,44,1,1,0,0,0,0,0,14,0.7,39,0.8,241,5
24,Uttar Pradesh,2261,203.7,3349,458.6,10,0.2,196,10.9,7,3.4,53,13.3,1715,156.9,7591,846.9
25,West Bengal,269,29.2,218,54.8,0,0,25,3.3,2,0.5,48,17.2,216,31.1,778,136.1
Total (States),Total (States),7130,962,7333,972,22,3,487,37.1,64,70.9,933,191.6,10160,1940.4,26129,4176.9
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1
27,Chandigarh,1,0.1,0,0,0,0,0,0,0,0,0,0,2,1.3,3,1.3
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,3,0.2
29,Daman & Diu,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
30,Delhi,125,61.5,21,7.8,0,0,2,0,1,0.2,16,2,129,49.9,294,121.3
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,1,0.2,0,0,0,0,0,0,0,0,0,0,10,1.2,11,1.4
Total (UTs),Total (UTs),129129,61.8,21,7.8,0,0,2,0,1,0.2,16,2,146,52.5,315,124.3
Total (All -India),Total (All -India),7259,1023.7,7354,979.8,22,3,489,37.1,65,71.1,949,193.6,10306,1992.9,26444,4301.2
33,Ahmedabad,23,5.6,1,0,0,0,0,0,0,0,9,0.4,98,48.9,131,54.9
34,Bangalore,71,15,2,0,0,0,0,0,2,0.4,17,7.2,80,65.6,172,88.1
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,77,6.9,77,6.9
36,Bombay,165,215,77,28.6,4,1.9,0,0,0,0,228,83.9,745,500.2,1219,829.6
37,Calcutta,18,12.3,82,39.2,0,0,0,0,0,0,32,16,28,11.2,160,78.7
38,Coimbatore,4,1.5,0,0,0,0,0,0,0,0,0,0,11,1.3,15,2.8
39,Delhi,119,56.4,17,4.8,0,0,0,0,1,0.2,12,1.8,109,47.7,258,110.9
40,Hyderabad,52,14.2,53,11.7,0,0,0,0,1,1.3,7,0.3,13,0.3,126,27.8
41,Indore,3,0.9,2,0.7,0,0,1,2.3,0,0,11,0.2,72,11.5,89,15.5
42,Jaipur,2,0,0,0,0,0,0,0,0,0,3,0.9,72,13,77,13.9
43,Kanpur,46,2.5,151,16,0,0,0,0,0,0,4,2.2,24,1.2,225,21.9
44,Kochi,4,0.8,1,0,0,0,0,0,0,0,3,3.4,3,0.1,11,4.3
45,Lucknow,39,5.5,76,8.5,0,0,0,0,0,0,0,0,4,0,119,14.1
46,Ludhiana,1,0.3,0,0,0,0,0,0,0,0,2,0.6,1,0.1,4,1.1
47,Madras,27,12.6,2,0,0,0,0,0,0,0,3,0.1,84,14.7,116,27.5
48,Madurai,1,0.1,0,0,0,0,0,0,0,0,0,0,16,2,17,2.1
49,Nagpur,8,1,0,0,0,0,0,0,2,0.5,50,0.8,282,19.8,342,22.2
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,13,1.7,2,0.2,0,0,0,0,0,0,3,1.1,96,7.1,114,10.1
52,Surat,18,3.9,0,0,0,0,0,0,0,0,5,6.4,35,31.8,58,42.1
53,Vadodara,7,2.8,3,6.5,0,0,0,0,0,0,2,0.2,26,2.4,38,11.9
54,Varanasi,53,166.6,14,3.3,0,0,0,0,0,0,8,3.2,0,0,75,173.1
55,Vishakhapatnam,17,1.9,0,0,0,0,0,0,0,0,0,0,25,0.6,42,2.5
