SL. No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,10,5,0,7,1,0,1,7,0,6,117,238,42,1,10,0,267,711
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,3,17
3,Assam,7,0,0,4,7,7,0,0,0,1,28,72,40,0,0,0,19,178
4,Bihar,50,44,2,22,17,6,11,19,1,16,43,184,215,2,0,0,131,746
5,Goa,0,0,1,0,0,0,0,0,0,0,8,5,1,0,0,0,8,23
6,Gujarat,15,14,0,10,8,7,1,4,0,7,118,225,83,4,3,0,653,1144
7,Haryana,11,7,1,6,4,4,0,2,0,0,55,62,2,0,5,0,90,245
8,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,6,3,9,1,0,0,32,51
9,Jammu & Kashmir,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,14
10,Karnataka,10,1,0,0,0,0,0,0,0,1,68,179,7,0,1,0,39,306
11,Kerala,5,1,0,4,0,0,0,0,0,0,17,17,26,0,0,0,44,114
12,Madhya Pradesh,53,60,5,55,15,15,0,4,0,15,322,411,97,2,14,0,1406,2459
13,Maharashtra,72,31,1,26,14,10,4,12,1,34,406,923,172,7,8,0,1517,3224
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
15,Meghalaya,0,0,0,4,0,0,0,0,0,0,26,17,0,0,0,0,25,72
16,Mizoram,1,0,0,1,0,0,0,0,0,0,5,31,0,0,0,0,0,38
17,Nagaland,1,0,1,1,0,0,0,0,0,0,7,8,0,1,0,0,1,20
18,Orissa,1,0,0,0,0,0,0,0,0,0,19,52,0,0,0,0,9,81
19,Punjab,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
20,Rajasthan,17,7,2,9,2,2,0,1,0,1,91,106,151,0,2,0,188,577
21,Sikkim,3,0,0,2,0,0,0,0,0,0,4,2,0,1,0,0,1,13
22,Tamil Nadu,11,0,0,3,6,6,0,0,0,1,67,510,54,2,0,0,74,728
23,Tripura,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,15,28
24,Uttar Pradesh,6,1,2,1,0,0,0,1,0,0,6,9,1,0,0,0,3,30
25,West Bengal,7,0,1,1,1,1,0,0,0,0,3,10,1,0,0,0,2,26
Total (States),Total (States),281,174,16,156,75,58,17,50,2,82,1431,3079,901,21,43,0,4539,10850
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4
28,D & N Haveli,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4
30,Delhi,11,2,3,2,4,4,0,1,0,5,27,101,4,0,3,0,43,206
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,8,27
Total (UTs),Total (UTs),11,3,3,2,4,4,0,1,0,5,33,124,5,0,3,0,56,250
Total (All -India),Total (All -India),292,177,19,158,79,62,17,51,2,87,1464,3203,906,21,46,0,4595,11100
33,Ahmedabad,2,3,0,0,2,2,0,0,0,0,13,47,17,3,1,0,146,234
34,Bangalore,0,0,0,0,0,0,0,0,0,0,46,91,1,0,1,0,10,149
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Bombay,6,1,0,1,5,3,2,1,0,3,38,129,4,0,0,0,71,259
37,Calcutta,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,7
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,2,15
39,Delhi,9,1,1,2,4,4,0,0,0,5,22,86,4,0,3,0,35,172
40,Hyderabad,0,0,0,0,0,0,0,0,0,0,20,25,0,0,0,0,0,45
41,Indore,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,24,44
42,Jaipur,0,1,0,0,0,0,0,0,0,0,8,13,4,0,0,0,25,51
43,Kanpur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
45,Lucknow,1,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,2,11
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madras,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,33,114
48,Madurai,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,4,59
49,Nagpur,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,19,27
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,5,2,0,1,0,0,0,0,0,0,37,52,2,1,0,0,24,124
52,Surat,1,0,0,1,1,0,1,1,0,0,6,4,9,0,0,0,7,30
