SL. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1982,157664,10673,168337,6.3
2,1983,160513,11101,171614,6.5
3,1984,149755,12505,162260,7.7
4,1985,157107,11392,168499,6.8
5,1986,159977,10172,170149,6
6,1987,166407,13555,179962,7.5
7,1988,33065,5103,38168,13.4
8,1989,24777,11615,36392,31.9
9,1990,25269,5547,30816,18
10,1991,23201,6390,29591,21.6
11,1992,17474,3884,21358,18.2
