SL. No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad,153,140,6,41,103,46,57,28,0,126,1344,3594,267,83,424,130,3867,10306
2,Andhra Pradesh,Vijayawada,36,45,1,19,34,20,14,18,0,41,293,1109,33,30,126,29,1439,3253
3,Andhra Pradesh,Vishakhapatnam,31,31,1,16,5,5,0,4,0,42,458,1286,67,60,119,10,1768,3898
1,Assam,Guwahati,27,41,0,21,84,64,20,55,0,78,309,979,130,107,126,1,1726,3684
1,Bihar,Patna,192,301,26,21,111,33,78,24,9,218,400,2101,185,99,159,0,3389,7235
2,Bihar,Ranchi,126,42,6,14,37,25,12,29,7,223,173,739,99,13,13,2,1322,2845
1,Gujarat,Ahmedabad,158,163,3,27,205,164,41,35,0,131,953,4935,390,462,576,40,11797,19875
2,Gujarat,Bhavnagar,18,16,0,5,19,13,6,2,0,6,156,274,17,73,16,4,716,1322
3,Gujarat,Rajkot,26,24,0,4,27,18,9,7,0,30,210,723,46,143,150,7,2038,3435
4,Gujarat,Surat,162,58,1,17,52,31,21,138,0,58,387,1472,405,76,230,4,1807,4867
5,Gujarat,Vadodara,52,31,2,4,50,36,14,9,0,38,445,1960,348,149,282,9,3780,7159
1,Karnataka,Belgaum,23,17,0,0,5,5,0,6,0,20,197,242,71,NA,40,37,588,1253
2,Karnataka,Bangalore,151,205,2,27,84,30,54,43,0,172,1830,7793,618,262,716,2056,12288,26247
3,Karnataka,Bijapure,3,11,1,3,8,8,0,7,0,3,58,131,98,3,13,0,344,683
4,Karnataka,Davanagere,8,5,1,2,2,2,0,4,0,6,135,192,414,6,13,2,422,1212
5,Karnataka,Gulbarga,7,8,1,1,8,2,0,29,0,38,145,202,72,4,26,1,417,953
6,Karnataka,Hubli-Dharwad,31,9,0,3,13,6,7,12,1,26,231,383,150,23,59,1,720,1662
7,Karnataka,Mysore,38,13,0,1,17,5,12,1,0,49,295,994,878,15,30,2,1481,3814
8,Karnataka,Raichur,6,9,0,1,0,0,0,1,0,6,44,106,29,2,24,1,286,515
1,Kerala,Ernakulam,21,16,0,10,8,5,3,3,0,11,319,266,189,21,96,4,2356,3320
2,Kerala,Kozhikode,13,9,0,9,7,6,1,1,0,14,202,240,179,18,65,2,2638,3397
3,Kerala,Thiruvananthapuram,24,49,4,9,15,10,5,65,0,45,273,313,590,23,93,9,3150,4659
