SL.No.,Crime Head,Incidence - 1982,Rate - 1982,Incidence - 1987,Rate - 1987,Incidence - 1989,Rate - 1989,Incidence - 1989,Rate - 1989,Incidence - 1990,Rate - 1990,Incidence - 1991,Rate - 1991,Incidence - Quinquennial Avg. 1987-1991 (Q.A),Rate - Quinquennial Avg. 1987-1991 (Q.A),Incidence - 1992,Rate - 1992,Percentage Change in 1992 [(+)Increase/(-)Decrease ] over - 1982,Percentage Change in 1992 [(+)Increase/(-)Decrease ] over - Q.A.,Percentage Change in 1992 [(+)Increase/(-)Decrease ]over - 1991
1,Arms Act,60690,8.6,53577,6.9,52601,6.6,54637,6.7,58092,7,62025,7.3,56186,6.9,63893,7.4,5.3,13.7,3
2,Narcotic Drugs & Psychotropic Substances Act,14590,2.1,9442,1.2,13357,1.7,12831,1.6,14176,1.7,20944,2.5,14150,1.7,22478,2.6,54.1,58.9,7.3
3,Gambling Act,201630,28.6,166429,21.3,171024,21.5,162966,20.1,168056,20.3,167113,19.7,167118,20.5,167193,19.3,-17.1,0,0
4,Excise Act,112243,15.9,91696,11.7,88419,11.1,90118,11.1,94093,11.4,95863,11.3,92038,11.3,95108,11,-15.3,3.3,-0.8
5,Prohibition Act,356334,50.5,553138,70.8,640011,80.3,710928,87.6,594789,71.9,548237,64.5,609421,74.9,627426,72.3,76.1,3,14.4
6,Explosive & Explosive Substances Act,3071,0.4,3304,0.4,3712,0.5,4322,0.5,5600,0.7,5458,0.6,4479,0.6,8899,1,189.8,98.7,63
7,Immoral Traffic (Prevention) Act,15890,2.3,13453,1.7,15989,2,13466,1.7,16426,2,14639,1.7,14795,1.8,12580,1.4,-20.8,-15,-14.1
8,Indian Railways Act,41039,5.8,19429,2.5,37438,4.7,35664,4.4,39443,4.8,33720,4,33139,4.1,26548,3.1,-35.3,-19.9,-21.3
9,Registration of Foreigners Act,*,NA,*,NA,1119,0.1,1969,0.2,2357,0.3,3301,0.4,*,NA,1996,0.2,NA,NA,-39.5
10,Protection Of Civil Rights Act,*,NA,*,NA,2966,0.4,3443,0.4,3683,0.4,3835,0.5,*,NA,4380,0.5,NA,NA,14.2
11,Indian Passport Act,*,NA,*,NA,729,0.1,628,0.1,608,0.1,726,0.1,*,NA,1169,0.1,NA,NA,61
12,Essential Commodities Act,*,NA,*,NA,5829,0.7,11149,1.4,6611,0.8,8307,1,*,NA,7292,0.8,NA,NA,-12.2
13,Terrorist & Disruptive Actvites Act,*,NA,*,NA,763,0.1,1773,0.2,2498,0.3,3913,0.5,*,NA,4093,0.5,NA,NA,4.6
14,Antiquity & Art Treasure Act,*,NA,*,NA,12,0,11,0,18,0,10,0,*,NA,40,0,NA,NA,300
15,Dowry Prohibition Act,*,NA,*,NA,2064,0.3,1918,0.2,2155,0.3,1841,0.2,*,NA,2102,0.2,NA,NA,14.2
16,Other LSL Crimes,2164581,306.9,2678858,342.8,2729636,342.7,2741842,337.7,2284958,276.3,2401039,282.6,2567267,315.7,2513251,289.6,16.1,-2.1,4.7
17,Total Cognizable Crimes Under LSL,2970068,421.2,3589329,459.3,3765669,472.7,3847665,474,3293563,398.3,3370971,396.8,3573439,439.4,3558448,410.1,19.8,-0.4,5.6
