SL. No.,State/UT/City,Arms Act - Incidence (I),Arms Act - Rate (R ),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Rate (R ),Gambling Act - Incidence (I),Gambling Act - Rate (R ),Excise Act - Incidence (I),Excise Act - Rate (R ),Prohibition Act - Incidence (I),Prohibition Act - Rate (R ),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Rate (R ),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R ),Indian Railways Act - Incidence (I),Indian Railways Act - Rate (R ),Registration of Foreigners Act - Incidence (I),Registration of Foreigners Act - Rate (R ),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R ),Indian Passport Act - Incidence (I),Indian Passport Act - Rate (R),Essential Commodities Act - Incidence (I),Essential Commodities Act - Rate (R ),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Rate (R ),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Rate (R ),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Rate (R ),Other LSL Crimes - Incidence (I),Other LSL Crimes - Rate (R ),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Rate (R )
1,Andhra Pradesh,385,0.6,134,0.2,35480,52.1,2955,4.3,0,0,385,0.6,924,1.4,53,0.1,1,0,348,0.5,0,0.2,15,0,80,0.1,4,0,86,0.1,616639,905.1,657489,965.1
2,Arunachal Pradesh,17,1.9,21,2.4,0,0,0,0,0,0,12,1.3,0,0,0,0,2,0.2,0,0,2,0.1,1,0.1,1,0.1,0,0,0,0,12,1.3,68,7.6
3,Assam,258,1.1,130,0.6,327,1.4,338,1.5,128,0.6,23,0.1,2,0,10,0,6,0,0,0,26,0,33,0.1,395,1.7,1,0,60,0.3,1677,7.3,3414,14.8
4,Bihar,3299,3.7,113,0.1,278,0.3,1414,1.6,0,0,677,0.8,12,0,178,0.2,12,0,25,0,1,0,734,0.8,5,0,1,0,693,0.8,2315,2.6,9757,11
5,Goa,5,0.4,29,2.4,1492,124.3,0,0,0,0,6,0.5,53,4.4,5,0.4,8,0.7,1,0.1,0,0.1,5,0.4,0,0,0,0,0,0,450,37.5,2054,171.2
6,Gujarat,428,1,261,0.6,12602,29.8,0,0,152664,360.7,86,0.2,3,0,1321,3.1,39,0.1,190,0.4,52,0,294,0.7,0,0,0,0,2,0,43239,102.1,211181,498.9
7,Haryana,1805,10.6,879,5.2,2403,14.2,14464,85.2,0,0,32,0.2,0,0,1330,7.8,4,0,2,0,0,0,152,0.9,12,0.1,0,0,0,0,1382,8.1,22465,132.4
8,Himachal Pradesh,30,0.6,90,1.7,116,2.2,4409,83.2,0,0,9,0.2,0,0,1,0,3,0.1,25,0.5,0,0.1,18,0.3,8,0.2,0,0,5,0.1,478,9,5192,98
9,Jammu & Kashmir,417,5.2,35,0.4,2,0,5,0.1,0,0,192,2.4,1,0,0,0,29,0.4,6,0.1,7,0,149,1.9,3164,39.8,0,0,3,0,283,3.6,4293,54
10,Karnataka,64,0.1,136,0.3,6130,13.3,1407,3.1,4,0,58,0.1,2802,6.1,13,0,41,0.1,753,1.6,4,0,420,0.9,6,0,6,0,344,0.7,511833,1113.9,524021,1140.4
