SL. No.,Crime Head,1988,1989,1990,1991,1992
1,Arms Act,1.4,1.4,1.8,1.8,1.8
2,Narcotic Drugs & Psychotropic Substances Act,0.4,0.3,0.4,0.6,0.6
3,Gambling Act,4.5,4.2,5.1,5,4.7
4,Excise Act,2.3,2.3,2.9,2.8,2.7
5,Prohibition Act,17,18.5,18.1,16.3,17.6
6,Explosive & Explosive Substances Act,0.1,0.1,0.2,0.2,0.3
7,Immoral Traffic (P) Act,0.4,0.3,0.5,0.4,0.4
8,Indian Railways Act,1,0.9,1.2,1,0.7
9,Registration of Foreigners Act,0,0.1,0.1,0.1,0.1
10,Protection Of Civil Rights Act,0.1,0.1,0.1,0.1,0.1
11,Indian Passport Act,0,0,0,0,0
12,Essential Commodities Act,0.2,0.3,0.2,0.2,0.2
13,Terrorist & Disruptive Actvites Act,0,0,0.1,0.1,0.1
14,Antiquity & Art Treasure Act,0,0,0,0,0
15,Dowry Prohibition Act,0.1,0,0.1,0.1,0.1
16,Other L & SL Crimes,72.5,71.3,69.4,71.2,70.6
17,Total Cognizable Crimes Under L & SL,100,99.8,100.2,99.9,100
