SL. No.,Crime Head,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage of Cases of Recovery,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered,Percentage Recovery
1,Dacoity,10748,3564,33.2,7133.6,988,13.8
2,Robbery,23811,8482,35.6,4301.2,1330.3,30.9
3,Burglary,120618,33920,28.1,11634.6,2657.7,22.8
4,Theft,340545,116116,34.1,30117.1,10027.5,33.3
5,Criminal Breach of Trust,14127,4072,28.8,7175.8,1545.3,21.5
6,Others,103757,61584,59.4,6847.3,1210.2,17.7
7,Total,613606,227738,37.1,67209.6,17759,26.4
