SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,5883,557.1,0,0,67,9.2,0,0,5,0.2,383,31.2,910,128.6,7248,726.4
2,Arunachal Pradesh,155,14.9,0,0,1,0,0,0,0,0,34,2.4,34,2.9,224,20.3
3,Assam,2987,90.8,7,0.1,0,0,2,0.1,0,0,395,22.2,634,102.7,4025,216.1
4,Bihar,7367,287.9,0,0,0,0,71,3.4,0,0,119,5.8,137,6.2,7694,303.3
5,Goa,306,44.3,0,0,0,0,0,0,3,0,102,12.7,112,12.3,523,69.4
6,Gujarat,4700,487,1,0.1,3,0.2,0,0,7,0,601,142.5,1590,148.5,6902,778.2
7,Haryana,2300,224.5,0,0,0,0,0,0,0,0,118,11.6,222,8.8,2640,244.9
8,Himachal Pradesh,591,116.3,2,0,0,0,0,0,6,0,109,7.3,250,38.1,958,161.8
9,Jammu & Kashmir,1094,152.3,0,0,0,0,0,0,0,0,51,9.7,675,206.7,1820,368.7
10,Karnataka,5680,417.4,5,0.7,0,0,7,0.2,4,0,748,98.5,2403,370.2,8847,887
11,Kerala,2689,563.8,9,0.5,4,0,7,8.3,4,1.2,555,68.2,902,160.6,4140,802.6
12,Madhya Pradesh,16851,701.4,19,0.1,0,0,29,0.5,7,0.1,722,58.4,2897,76,20525,836.6
13,Maharashtra,14191,1347.7,16,3.3,0,0,1,0,2,0.1,949,283,2018,419,17177,2053.6
14,Manipur,73,16.6,1,0,0,0,0,0,0,0,1,6,25,2.6,100,19.3
15,Meghalaya,155,5.2,0,0,0,0,0,0,0,0,61,0.1,39,1.5,255,9.6
16,Mizoram,211,31.9,0,0,0,0,0,0,0,0,13,2.9,46,2.2,270,35.1
17,Nagaland,100,7,0,0,0,0,0,0,11,0.1,123,1,64,12.8,298,41.3
18,Orissa,4748,442.2,0,0,0,0,0,0,0,0,10,21.4,6,0.4,4764,443.1
19,Punjab,913,267.9,3,0.8,0,0,0,0,2,0,44,0.5,257,100.3,1219,382.7
20,Rajasthan,5616,388.3,0,0,0,0,3,0,3,3.6,195,13.6,2138,146.1,7955,556.4
21,Sikkim,50,3.2,0,0,0,0,0,0,0,0,5,18.3,17,5.1,72,8.8
22,Tamil Nadu,6372,517.5,0,1.5,0,0,7,0,10,0.1,527,0.5,526,78.6,7442,630.6
23,Tripura,418,5.7,0,0,0,0,0,0,0,0,70,33,30,1.3,518,7.9
24,Uttar Pradesh,16283,1631.8,0,0,0,0,22,0.5,1,0,57,0.9,2037,28.7,18400,1666.4
