SL. No.,State/UT,Rape,Kidnapping & Abduction,Dowry Deaths,Cruelty by Husband and Relatives,Molestation,Eveteasing,Total
1,Andhra Pradesh,688,535,411,1444,1736,999,5813
2,Arunachal Pradesh,32,30,0,0,33,1,96
3,Assam,427,819,14,199,190,10,1659
4,Bihar,633,413,263,315,209,24,1857
5,Goa,18,13,0,13,28,11,83
6,Gujarat,253,670,103,1106,907,255,3294
7,Haryana,134,158,144,185,213,272,1106
8,Himachal Pradesh,91,150,30,87,242,5,605
9,Jammu & Kashmir,124,415,9,3,282,143,976
10,Karnataka,177,264,227,826,852,42,2388
11,Kerala,203,75,13,242,580,5,1118
12,Madhya Pradesh,2532,1219,423,1409,6916,675,13174
13,Maharashtra,885,904,828,5396,2635,460,11108
14,Manipur,13,81,0,0,47,1,142
15,Meghalaya,27,5,0,0,17,0,49
16,Mizoram,44,1,0,0,45,0,90
17,Nagaland,1,1,0,0,1,0,3
18,Orissa,285,172,63,245,722,62,1549
19,Punjab,59,117,99,27,16,3,321
20,Rajasthan,803,2217,152,1033,1430,60,5695
21,Sikkim,9,3,0,0,8,0,20
22,Tamil Nadu,250,513,97,222,676,1205,2963
23,Tripura,57,68,7,41,82,4,259
24,Uttar Pradesh,1400,2330,1597,1415,2116,2580,11438
25,West Bengal,461,451,538,1608,335,354,3765
Total (States),Total (States),9606,11624,5018,15816,20336,7171,69571
26,A & N Islands,3,8,0,3,28,8,50
27,Chandigarh,7,14,2,9,5,31,68
28,D & N Haveli,4,1,0,2,1,0,8
29,Daman & Diu,1,2,0,3,1,0,7
30,Delhi,161,644,133,112,203,2376,3629
31,Lakshadweep,0,0,0,0,0,0,0
32,Pondicherry,11,7,4,4,37,697,760
Total (UTs),Total (UTs),187,676,139,133,275,3112,4522
Total (All -India),Total (All -India),9793,12300,5157,15949,20611,10283,74093
