SL. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1982,17657,4822,27.3
2,1983,17055,4933,28.9
3,1984,23825,6818,28.6
4,1985,22642,6712,29.6
5,1986,21925,7615,34.7
6,1987,34444,8100,23.5
7,1988,33084,9057,27.4
8,1989,33487,11287,33.7
9,1990,41817,11855,28.3
10,1991,59537,17012,28.6
11,1992,67210,17759,26.4
12,Percentage Change in 1992 Over 1982,280.6,268.3,-3.2
