SL. No. (Col. 1),Crime Head (Col. 2),Below 16 Years - Male (Col. 3),Below 16 Years - Female (Col. 4),16-18 Years - Male (Col. 5),16-18 Years - Female (Col. 6),18-30 Years - Male (Col. 7),18-30 Years - Female (Col. 8),30-50 Years - Male (Col. 9),30-50 Years - Female (Col. 10),50 Years & Above - Male (Col. 11),50 Years & Above - Female (Col. 12),All Age Groups - Juveniles - Male (Col. 13) = (Col. 3),All Age Groups - Juveniles - Female (Col. 14) (Col. 4+6),All Age Groups - Others - Male (Col. 15),All Age Groups - Others - Female (Col. 16),All Age Groups - Total - Male (Col. 17),All Age Groups - Total - Female (Col. 18),Grand Total Male+Female (Col. 19) (Col. 17+18)
1,Murder,308,32,1762,38,40284,1406,36724,1271,7194,224,308,70,85964,2901,86272,2971,89243
2,Attempt to Commit Murder,243,5,1418,39,38306,625,29307,550,6796,114,243,44,75827,1289,76070,1333,77403
3,C.H. Not Amounting to Murder,17,1,124,6,4829,96,3465,147,612,47,17,7,9030,290,9047,297,9344
4,Rape,143,2,689,7,10263,107,4600,72,519,12,143,9,16071,191,16214,200,16414
5,Kidnapping & Abduction,72,3,1074,25,16268,600,9131,415,1481,75,72,28,27954,1090,28026,1118,29144
5,I) Of Women & Girls,54,3,734,17,10048,452,5632,308,664,58,54,20,17078,818,17132,838,17970
5,II) Of Others,18,0,340,8,6220,148,3499,107,817,17,18,8,10876,272,10894,280,11174
6,Dacoity,63,0,1016,4,20455,122,13075,90,1236,10,63,4,35782,222,35845,226,26071
7,Preparation & Assembly for Dacoity,3,0,83,0,3701,1,2357,0,339,5,3,0,6480,6,6483,6,6489
8,Robbery,74,0,824,2,19357,115,11134,58,922,3,74,2,32237,176,32311,178,32489
9,Burglary,1631,22,2936,36,47850,574,31188,332,4527,71,1631,58,86501,977,88132,1035,89167
10,Theft,3031,165,7543,334,124048,2607,76900,2108,12246,377,3031,499,220737,5092,223768,5591,229359
11,Riots,1155,65,11861,257,271340,8808,190696,7798,41928,1493,1155,322,515825,18099,516980,18421,535401
12,Criminal Breach of Trust,18,0,163,2,7429,140,7455,190,1309,69,18,2,16356,399,16374,401,16775
13,Cheating,43,0,216,8,11417,232,10931,273,1853,56,43,8,24417,561,24460,569,25029
14,Counterfeiting,0,0,3,0,451,7,569,2,35,1,0,0,1058,10,1058,10,1068
15,Other IPC Crimes,4529,368,22021,776,636057,28257,527956,22529,104582,5573,4529,1144,1290616,56359,1295145,57503,1352648
16,Total Cognizable Crimes Under IPC,11330,663,51733,1534,1252055,43697,955488,35835,185579,8130,11330,2197,2444855,87662,2456185,89859,2546044
1,Arms Act,83,0,1108,6,41285,37,23025,31,2400,2,83,6,67818,70,67901,76,67977
2,Narcotic Drugs & Psychotropic Substances Act,10,0,190,13,12693,404,9335,385,1311,49,10,13,23529,838,23539,851,24390
3,Gambling Act,662,0,5216,2,181539,110,142879,1503,23267,2506,662,2,352901,4119,353563,4121,357684
4,Excise Act,85,3,1807,47,49727,2497,35421,2855,7053,471,85,50,94008,5769,94093,5819,99912
5,Prohibition Act,638,33,3997,1192,232385,52430,224836,61897,44075,9184,638,1225,505293,123511,505931,124736,630667
6,Explosive & Explosive Substances Act,18,0,113,0,4193,10,2246,23,332,7,18,0,6884,40,6902,40,6942
7,Immoral Traffic (P) Act,16,0,8,156,1571,7239,1129,3542,133,95,16,156,2841,10876,2857,11032,13889
8,Indian Railways Act,18,0,398,0,14678,72,11894,74,930,50,18,0,27900,196,27918,196,28114
9,Registration of Foreigners Act,8,0,127,7,1680,201,1128,197,67,6,8,7,3002,404,3010,411,3421
10,Protection Of Civil Rights Act,1,1,95,2,3663,112,3810,134,647,16,1,3,8215,262,8216,265,8481
11,Indian Passport Act,0,0,1,0,760,54,786,63,47,9,0,0,1594,126,1594,126,1720
12,Essential Commodities Act,0,0,46,0,3606,14,4912,35,806,29,0,0,9370,78,9370,78,9448
13,Terrorist & Disruptive Activites Act,0,0,60,0,1505,51,943,4,50,0,0,0,2558,55,2558,55,2613
14,Antiquity & Art Treasure Act,0,0,0,0,12,0,42,0,3,0,0,0,56,0,56,0,56
15,Dowry Prohibition Act,11,4,34,0,1888,336,1541,358,383,196,11,4,3846,890,3857,894,4751
16,Other LSL Crimes,4594,50,22970,171,1697582,26262,1168663,12031,120190,3265,4594,221,3009405,41558,3013999,41779,3055778
17,Total Cognizable Crimes Under LSL,6144,91,36170,1596,2248767,89829,1632590,83132,201693,15831,6144,1687,4119220,188792,4125364,190479,4315843
Grand Total (A+B),Grand Total (A+B),17474,754,87903,3130,3500822,133526,2588078,118967,387272,23961,17474,3884,6564075,276454,6581549,280338,6861887
