SL. No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,16,7,0,7,7,0,7,7,0,8,143,297,175,1,18,0,816,1503
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,4,26
3,Assam,9,0,0,4,7,7,0,0,0,1,39,78,98,0,0,0,30,266
4,Bihar,85,83,2,25,22,9,13,24,2,16,50,247,276,2,0,0,462,1296
5,Goa,0,0,1,0,0,0,0,0,0,0,8,5,1,0,0,0,12,27
6,Gujarat,17,17,0,8,9,8,1,8,0,9,157,281,135,4,6,0,802,1453
7,Haryana,6,3,0,1,3,3,0,1,0,0,43,26,3,0,2,0,79,167
8,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,11,4,12,1,0,0,43,71
9,Jammu & Kashmir,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,14
10,Karnataka,12,1,0,0,0,0,0,0,0,3,82,207,35,0,1,0,51,392
11,Kerala,7,2,0,4,0,0,0,0,0,0,18,19,36,0,0,0,70,156
12,Madhya Pradesh,80,90,10,63,23,23,0,6,0,17,427,593,184,2,14,0,1732,3241
13,Maharashtra,73,42,1,16,8,3,5,18,1,15,408,827,309,6,5,0,1147,2876
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
15,Meghalaya,0,0,0,4,0,0,0,0,0,0,27,20,0,0,0,0,25,76
16,Mizoram,3,0,0,1,0,0,0,0,0,0,5,35,0,0,0,0,0,44
17,Nagaland,1,0,2,1,0,0,0,0,0,0,11,9,0,1,0,0,5,30
18,Orissa,1,0,0,0,0,0,0,0,0,0,25,59,0,0,0,0,9,94
19,Punjab,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
20,Rajasthan,20,35,2,9,10,10,0,1,0,1,91,105,149,0,2,0,210,635
21,Sikkim,3,0,0,2,0,0,0,0,0,0,8,2,0,1,0,0,1,17
22,Tamil Nadu,11,0,0,3,6,6,0,0,0,1,67,510,54,2,0,0,74,728
23,Tripura,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,15,31
24,Uttar Pradesh,10,1,2,1,0,0,0,1,0,0,11,13,2,0,0,0,9,50
25,West Bengal,12,0,1,1,1,1,0,0,0,0,4,16,1,0,0,0,4,40
Total (States),Total (States),367,284,21,150,96,70,26,66,3,71,1653,3376,1470,20,48,0,5617,13242
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4
28,D & N Haveli,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,1,8
30,Delhi,11,2,3,2,4,4,0,1,0,5,30,129,4,0,3,0,43,237
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,8,27
Total (UTs),Total (UTs),11,3,3,2,4,4,0,1,0,5,36,154,7,0,3,0,56,285
Total (All -India),Total (All -India),378,287,24,152,100,74,26,67,3,76,1689,3530,1477,20,51,0,5673,13527
33,Ahmedabad,2,3,0,0,2,2,0,0,0,0,13,51,17,3,2,0,164,257
34,Bangalore,0,0,0,0,0,0,0,0,0,0,48,113,1,0,1,0,18,181
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
