SL. No.,Crime Heads,1976,1977,1978,1979,1980,1981,1982,Percentage Change in 1981 Over
1,Arms Act,52846,57225,57903,61776,67726,69662,60690,-12.9
2,Opium Act,14301,12102,12792,12923,14529,14347,14590,1.7
3,Gambling Act,146306,192284,235790,217501,213340,235824,201630,-14.5
4,Excise Act,100381,90461,103250,123979,112981,110518,112243,1.6
5,Prohibition Act,692685,660211,686784,608810,487683,320606,356334,11.1
6,Explosive & Explosive Substances Act,3080,1903,1803,1771,2399,2818,3071,9
7,Suppression of Immoral Traffic Act,16150,13924,15448,14196,14308,15658,15890,1.5
8,Motor Vehicles Act,713820,593742,714482,774015,645226,674498,1084506,60.8
9,Prevention of Corruption Act,367,807,1245,541,257,302,278,-7.9
10,Customs Act,103,258,195,131,507,28,137,389.3
11,Indian Railways Act,36534,28036,24944,28692,33200,42128,41039,-2.6
12,Other Offences,1446337,1048108,937587,979233,991544,1060010,1079660,1.9
13,Total,3222910,2699061,2792223,2823568,2583700,2546399,2970068,16.6
