SL. No.,Ranks,Killed,Injured
1,Constables,180,2372
2,Head Constables,37,509
3,Assistant Sub-Inspectors,11,111
4,Sub-Inspectors,37,432
5,Inspectors,8,104
6,Other Gazetted Officers,4,67
Total,Total,277,3595
