SL. No.,Nature of Property Stolen and Recovered,Number of Cases in which Property was Stolen,Value of Property Stolen (in Rs. Lakhs),Value of Property Recovered (in Rs. Lakh),Percentage of Value of Property Recovered to Value of Property Stolen
1,Wire,9314,146.68,34.15,23.3
2,Cattles,18050,257.27,135.39,52.6
3,Cycles,51491,251.17,62.55,24.9
4,Motor Vehicles & Accessories,14048,2564.41,1836.16,71.6
5,Fire Arms,1029,44.49,10.4,23.4
6,Explosives,121,2.16,0.28,13
7,Others,314428,8893.98,1756.93,19.8
8,Total,408481,12160.16,3835.86,31.5
