SL. No.,Year,Total Value of Property Stolen (Rs. in Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,1977,8320.3,25
2,1978,9897.7,26.7
3,1979,10690.1,27.7
4,1980,15617.2,22.8
5,1981,16241.7,32.9
6,1982,17657.4,27.3
