SL. No.,Year,Incidence of Crime,Volume of Crime Per Lakh of Population
1,1976,3233910,525.5
2,1977,2699061,431.3
3,1978,2792223,437.4
4,1979,2823568,433.7
5,1980,2583700,389.3
6,1981,2546399,369
7,1982,2970068,421.2
