SL. No.,Heads of Crime,Year - 1978,Year - 1979,Year - 1980,Year - 1981,Year - 1982
1,Murder,1.4,1.5,1.6,1.6,1.7
2,Culpable Homicide Not Amounting to Murder,0.2,0.2,0.2,0.2,0.3
3,Rape,0.3,0.3,0.4,0.4,0.4
4,Kidnapping & Abduction,1,1,1,1,1
5,Dacoity,1,1.1,1.1,1.1,0.9
6,Robbery,1.7,1.7,1.7,1.6,1.6
7,Burglary,13.7,12.6,12.2,11.4,10.5
8,Theft,32.5,32.2,31.5,305,27.7
9,Riots,7.2,7.4,7.8,7.9,7.9
10,Criminal Breach of Trust,1.7,1.6,1.5,1.5,1.3
11,Cheating,1.5,1.4,1.3,1.3,1.3
12,Counterfeiting,0.1,0.1,0.1,0.1,0.4
13,Miscellaneous,37.7,38.9,39.6,41.4,45.3
Total,Total,100,100,100,100,100
