SL. No.,Crime Heads,Male,Female,Total,Percentage of Female to Total
1,Murder,55191,1230,56421,2.2
2,Culpable Homicide Not Amounting to Murder,6997,89,7086,1.3
3,Rape,7381,61,7442,0.8
4,Kidnapping & Abduction,16634,755,17389,4.3
5,Dacoity,47425,226,47651,0.5
6,Robbery,26657,186,26843,0.7
7,Burglary,100389,1867,102256,1.8
8,Theft,229237,5550,234787,2.4
9,Riots,556180,14198,570378,2.5
10,Criminal Breach of Trust,16583,103,16686,0.6
11,Cheating,14959,179,15138,1.2
12,Counterfeiting,747,3,750,0.4
13,Total Cognizable Crimes,1963604,43926,2007530,2.2
