SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed during the Year,Persons in custody or on bail during the stage of trial at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to total number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,197331,443,64511,132377,41231,67.1,63.9
2,Opium Act,32408,86,13835,18487,8946,57,64.7
3,Gambling Act,631549,3417,348810,279322,290420,44.2,83.3
4,Excise Act,278675,680,116511,161484,80633,57.9,69.2
5,Prohibition Act,678872,11492,260956,406424,111565,59.9,42.8
6,Explosive & Explosive Substances Act,7131,100,1583,5448,1026,76.4,64.8
7,Suppression of Immoral Traffic Act,27543,455,19857,7231,18602,26.2,93.7
8,Motor Vehicles Act,1308300,6661,1051305,250334,997329,19.1,94.9
9,Prevention of Corruption Act,955,NA,279,676,105,70.8,37.6
10,Customs Act,139,NA,77,62,68,44.6,88.3
11,Indian Railways Act,52617,47,43576,8994,18430,17.1,42.3
12,Other Offences Under Local & Special Laws,1473293,17076,1164372,291845,1111247,19.8,95.4
13,Total,4688813,40457,3085672,1562684,2679602,33.3,86.8
