SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crimes Under IPC,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Number of Policemen Per 100 SQ. KM. Area,Number of Policemen Per 1000 of Population,Number of IPC Cases Per Civil Policeman,Percentage of civil police of total police
1,State,Andhra Pradesh,275068,54977,79722,37535,12287,49822,18.1,9.1,2.1,75.3
2,State,Assam,78438,20588,43632,16610,10751,27361,34.9,13.3,2.6,60.7
3,State,Bihar,173877,71963,106768,52459,13127,65586,37.7,9.1,2,80
4,State,Gujarat,196024,35072,80740,42806,12183,54989,28.1,15.7,1.9,77.8
5,State,Haryana,44212,13403,16563,15102,4456,19558,44.2,14.6,1.1,77.2
6,State,Himachal Pradesh,55673,4396,3989,5478,2792,8270,14.9,18.8,0.7,66.2
7,State,Jammu and Kashmir,222236,6152,15523,15044,5960,21004,9.5,34.1,1,71.6
8,State,Karnataka,191791,38276,74479,37624,3870,41494,21.6,10.8,2,90.7
9,State,Kerala,38863,26051,46096,20634,2420,23054,59.3,8.8,2.2,89.5
10,State,Madhya Pradesh,443446,53716,170310,54764,22290,77054,17.4,14.3,3.1,71.1
11,State,Maharashtra,307690,64619,165747,92417,11977,104394,33.9,16.2,1.8,88.5
12,State,Manipur,22327,1471,3081,3278,4534,7812,35,53.1,0.9,42
13,State,Meghalaya,22429,1388,1733,3737,1664,5401,24.1,38.9,0.5,69.2
14,State,Nagaland,16579,821,1058,5096,6016,11112,67,135.3,0.2,45.9
15,State,Orissa,155707,26994,48060,22663,6331,28994,18.6,10.7,2.1,78.2
16,State,Punjab,50362,17273,12263,22372,5846,28218,56,16.3,0.5,79.3
17,State,Rajasthan,342239,35571,73610,39220,6932,46152,13.5,13,1.9,85
18,State,Sikkim,7096,334,226,1244,456,1700,24,50.9,0.2,73.2
19,State,Tamil Nadu,130058,49438,115410,44917,5979,50896,39.1,10.3,2.6,88.3
20,State,Tripura,10486,2129,5486,4442,1605,6047,57.7,28.4,1.2,73.5
21,State,Uttar Pradesh,294411,114165,167747,108902,27501,136403,46.3,11.9,1.5,79.8
22,State,West Bengal,88752,56067,83379,50961,24852,75813,85.4,13.5,1.6,67.2
Total (States),State,Total (States),*3167764,694864,1315622,697305,193829,891134,28.1,12.8,1.9,78.2
23,UT,A & N Islands,8249,202,702,1737,190,1927,23.4,95.4,0.4,90.1
24,UT,Arunachal Pradesh,83743,657,1011,932,1161,2093,2.5,31.9,1.1,44.5
25,UT,Chandigarh,114,487,1617,1223,967,2190,1921.1,45,1.3,55.8
26,UT,D & N Haveli,491,108,272,74,69,143,29.1,13.2,3.7,51.7
27,UT,Delhi,1483,6577,27163,19168,9616,28784,1940.9,43.8,1.4,66.6
28,UT,"Goa, Daman & Diu",3814,1120,3218,1949,564,2513,65.9,22.4,1.7,77.6
29,UT,Lakshadweep,32,42,15,276,NA,276,862.5,65.7,0.1,100
30,UT,Mizoram,21081,523,1709,1412,914,2326,11,44.5,1.2,60.7
31,UT,Pondicherry,493,624,2575,862,662,1524,309.8,24.4,3,56.6
Total (UTs),UT,Total (UTs),119499,10340,38282,27633,14143,41776,35,40.4,1.4,66.1
Total (All-India),UT,Total (All-India),*3287263,705204,1353904,724938,207972,932910,28.4,13.2,1.9,77.7
