SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Total number of Persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody during the stage of investigation
1,Arms Act,70780,9742,60017,13.8,84.8
2,Opium Act,21370,6914,14251,32.4,66.7
3,Gambling Act,376733,15782,360586,4.2,95.7
4,Excise Act,142660,24854,116441,17.4,81.6
5,Prohibition Act,796477,463741,312834,58.2,39.3
6,Explosive & Explosive Substances Act,5386,2078,2594,38.6,48.2
7,Suppression of Immoral Traffic Act,21877,679,21172,3.1,96.8
8,Motor Vehicles Act,1102527,8818,1090163,0.8,98.9
9,Prevention of Corruption Act,580,288,271,49.6,46.7
10,Customs Act,81,24,53,29.6,65.4
11,Indian Railways Act,45432,590,44604,1.3,98.2
12,Other Offences Under Local & Special Laws,1246347,21882,1201990,1.8,96.4
13,Total,3830250,555392,3224939,14.5,84.2
