SL. No.,Heads of Crime,Number of New Offenders Arrested,Number of Offenders Who have been Arrested in the Past - Once,Number of Offenders Who have been Arrested in the Past - Twice,Number of Offenders Who have been Arrested in the Past - Three timeS or more,Total
1,Murder,52273,3249,496,92,56110
2,Culpable Homicide Not Amounting to Murder,6201,320,135,13,6669
3,Rape,7059,278,26,4,7367
4,Kidnapping & Abduction,15922,910,181,67,17080
5,Dacoity,41428,4094,1433,422,47377
6,Robbery,23648,2177,618,243,26686
7,Burglary,87383,9215,3198,1769,101565
8,Thefts,199377,21754,7368,4369,232868
9,Riots,545494,21553,2104,656,569807
10,Criminal Breach of Trust,15695,619,107,20,16441
11,Cheating,14016,636,110,42,14804
12,Counterfeiting,730,9,NA,NA,739
13,Total IPC,1866540,86895,22069,11089,1986593
