SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,43,1,17,54,13,63,917,2955,309,75,329,14,6510
2,Andhra Pradesh,Srikakulam,41,NA,5,8,2,8,92,246,159,33,16,1,4253
3,Andhra Pradesh,Vizianagaram,29,1,8,7,1,5,95,270,58,16,27,NA,2796
4,Andhra Pradesh,Visakhapatnam,64,NA,9,16,10,18,365,1065,212,47,57,2,3433
5,Andhra Pradesh,East Godavary,60,NA,13,13,1,8,443,1361,54,45,45,1,8775
6,Andhra Pradesh,West Godavary,46,1,20,31,6,6,285,482,166,45,25,NA,2328
7,Andhra Pradesh,Krishna,71,1,36,28,3,19,438,1171,218,48,37,1,5744
8,Andhra Pradesh,Nellore,54,1,7,13,11,20,293,782,179,16,16,5,4024
9,Andhra Pradesh,Kurnool,101,1,7,13,9,8,165,346,156,17,12,6,1685
10,Andhra Pradesh,Ongole,59,3,13,20,17,13,282,688,186,28,23,3,3592
11,Andhra Pradesh,Anantapur,72,23,4,4,2,5,294,979,344,10,19,1,2757
12,Andhra Pradesh,Guntur,121,NA,13,28,12,22,621,1357,274,54,43,9,7326
13,Andhra Pradesh,Cuddapah,82,NA,4,23,6,12,257,564,271,13,19,NA,2387
14,Andhra Pradesh,Chittoor,78,2,10,32,18,22,434,643,320,35,46,4,3603
15,Andhra Pradesh,R. R. District,50,5,5,9,22,32,224,510,179,17,33,NA,3316
16,Andhra Pradesh,Medak,64,NA,4,7,16,32,107,301,100,14,9,NA,1477
17,Andhra Pradesh,Mahabubnagar,79,NA,9,10,6,10,163,373,104,15,12,NA,1980
18,Andhra Pradesh,Nalgonda,64,4,13,6,55,20,221,354,373,14,21,6,2641
19,Andhra Pradesh,Nizamabad,43,1,8,11,23,46,177,438,75,12,26,NA,1956
20,Andhra Pradesh,Adilabad,33,NA,10,4,10,25,146,234,47,9,26,1,1396
21,Andhra Pradesh,Warangal,72,1,13,12,46,28,220,366,195,11,26,NA,2787
22,Andhra Pradesh,Khammam,48,NA,14,13,21,12,226,391,209,11,12,1,1967
23,Andhra Pradesh,Karimnagar,108,NA,17,14,25,74,218,361,144,18,12,NA,2155
24,Andhra Pradesh,RP. Vijyawada,NA,NA,NA,8,NA,6,2,340,NA,NA,3,NA,386
25,Andhra Pradesh,RP. Secunderabad,1,1,NA,NA,1,1,NA,177,5,3,NA,1,218
26,Andhra Pradesh,RP. Guntakal,NA,NA,NA,NA,NA,2,1,182,3,NA,2,NA,231
1,Assam,Goalpara,66,2,31,74,85,73,662,970,1133,60,62,15,5168
2,Assam,Kamrup,71,NA,31,80,73,42,786,1637,1023,98,132,3,6557
3,Assam,Darrang,52,4,21,81,104,107,777,1275,660,59,59,3,5524
4,Assam,Nowgaon,61,2,32,95,80,63,836,1293,947,61,81,6,5559
5,Assam,Sibsagar,117,5,49,130,40,161,730,1920,441,48,60,4,6819
6,Assam,Dibrugarh,119,8,18,48,22,79,566,1351,276,27,31,1,4184
7,Assam,North Lakhimpur,47,NA,35,52,16,63,351,509,353,34,23,NA,3044
8,Assam,Karbi Anglong,16,2,3,13,19,23,136,133,99,10,6,2,876
9,Assam,N.C. Hills,2,NA,NA,7,1,3,25,75,12,2,4,NA,218
10,Assam,Cachar,64,4,37,112,30,36,674,1441,1098,102,78,19,5683
1,Bihar,Patna,173,18,21,101,140,134,638,2578,556,124,114,1,8307
2,Bihar,Nalanda,126,2,6,35,100,61,201,537,211,16,22,NA,2929
3,Bihar,Bhojpur,108,10,14,42,116,71,529,515,414,35,24,NA,3981
4,Bihar,Rohtas,120,9,23,47,190,80,413,735,392,53,40,NA,3713
5,Bihar,Gaya,141,13,16,30,152,78,370,599,511,34,32,NA,4189
6,Bihar,Nawada,36,NA,7,14,44,22,76,485,220,16,20,NA,1592
7,Bihar,Aurangabad,38,3,3,13,93,32,331,404,273,25,11,NA,1893
8,Bihar,Saran,81,15,8,32,88,42,405,701,255,32,36,NA,3166
9,Bihar,Siwan,55,8,10,20,66,57,304,301,357,32,36,2,2234
10,Bihar,Gopalganj,51,33,4,19,64,18,133,265,219,19,13,1,1235
11,Bihar,West Champaran,53,12,12,50,90,39,136,447,484,48,41,NA,2066
