SL. No.,Heads of Offences,Number of Offences During - 1981,Number of Offences During - 1982,Percentage of Offences to Total Offences in 1982
1,Arms Act,1357,1233,1.4
2,Opium Act,183,165,0.2
3,Gambling Act,17397,18054,21.3
4,Excise Act,2268,2936,3.5
5,Prohibition Act,20712,21836,25.7
6,Explosives & Explosive Substances Act,54,38,Neg.
7,Suppression of Immoral Traffic Act,1522,1934,2.3
8,Motor Vehicles Act,1980,1851,2.2
9,Prevention of Corruption Act,2,NA,NA
10,Customs Act,NA,NA,NA
11,Indian Railways Act,4343,1824,2.2
12,Miscellaneous (Other than those mentioned above),47926,34906,41.2
13,Total,97744,84777,100
