SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,43,1,17,54,13,63,917,2955,309,75,329,14,6510
2,Andhra Pradesh,Vijayawada Town,13,NA,5,12,1,10,165,539,10,25,26,NA,1989
3,Andhra Pradesh,Bandar,5,1,NA,3,NA,NA,32,65,8,3,1,NA,739
4,Andhra Pradesh,Guntur,16,NA,1,12,3,9,67,407,14,17,12,2,1171
5,Andhra Pradesh,Tenali,5,NA,NA,4,NA,2,60,300,3,8,5,NA,975
6,Andhra Pradesh,Visakhapatnam,20,NA,5,4,3,10,173,635,69,28,64,2,1013
7,Andhra Pradesh,Warangal,9,NA,2,8,2,3,101,139,12,5,14,NA,595
8,Andhra Pradesh,Rajahmundry,4,NA,2,6,NA,1,92,245,11,5,9,NA,502
9,Andhra Pradesh,Kakinada,8,NA,2,3,NA,3,87,334,5,9,9,NA,759
10,Andhra Pradesh,Eluru,2,NA,2,3,NA,2,45,131,3,2,15,NA,320
11,Andhra Pradesh,Kellore,6,NA,1,2,1,6,66,193,8,10,8,4,455
12,Andhra Pradesh,Kurnool,8,NA,1,NA,1,NA,29,71,4,3,4,1,200
13,Andhra Pradesh,Nizamabad,6,NA,NA,2,8,10,30,95,1,6,NA,52,370
14,Andhra Pradesh,Cuddapah,2,NA,NA,1,NA,NA,69,141,27,4,2,NA,344
1,Assam,Gauhati,17,NA,7,36,6,9,418,1026,NA,59,84,1,1663
1,Bihar,Patna,68,NA,NA,NA,26,82,272,1709,90,NA,NA,NA,5067
2,Bihar,Munger,12,2,NA,9,11,17,64,104,36,5,9,NA,493
3,Bihar,Ranchi,124,17,30,42,62,113,230,1315,114,NA,NA,NA,2369
4,Bihar,Bhagalpur,4,2,NA,4,12,27,62,161,19,14,12,NA,752
5,Bihar,Bokaro,22,2,3,10,23,38,107,381,121,14,14,NA,735
6,Bihar,Darbhanga,8,6,NA,8,6,19,148,119,148,54,7,13,974
7,Bihar,Jamshedpur,33,3,10,28,17,46,121,148,22,20,NA,NA,1927
8,Bihar,Dhanbad,11,NA,NA,NA,14,27,82,232,30,NA,13,NA,752
9,Bihar,Arrah,3,NA,1,8,1,10,26,75,25,4,1,NA,266
1,Gujarat,Ahmedabad,62,2,11,115,13,39,502,2921,297,97,178,12,11432
2,Gujarat,Rajkot City,18,NA,1,15,NA,10,109,512,28,19,23,NA,1908
3,Gujarat,Baroda City,40,NA,6,35,97,28,424,2150,226,54,74,NA,5853
4,Gujarat,Surat City,30,NA,1,39,4,24,164,1322,81,58,91,2,3445
5,Gujarat,Bhavnagar City,7,NA,NA,8,1,3,55,165,69,10,8,1,980
6,Gujarat,Jamnagar City,13,NA,2,10,1,4,83,218,15,16,19,NA,846
