SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
1,State,Andhra Pradesh,119548,3033,4060,141,78,2,336,NA,460,25,1309,4,890,5,5389,72,12503,333,32873,1545,461,NA,638,17,21,NA
2,State,Assam,61562,2072,1148,6,31,NA,235,7,899,3,1583,NA,1046,NA,6415,49,9984,80,21482,539,352,NA,344,NA,1,NA
3,State,Bihar,197723,1208,4818,64,383,14,670,NA,1921,96,9009,98,2567,NA,7824,4,25050,204,79575,490,1869,NA,1350,NA,29,NA
4,State,Gujarat,111996,3742,2400,118,19,NA,134,2,745,87,843,10,1182,27,5331,157,12189,663,14821,441,1761,8,937,19,12,1
5,State,Haryana,25184,218,812,19,289,8,175,1,264,7,185,NA,156,NA,1511,11,2804,22,1466,40,234,NA,264,1,1,NA
6,State,Himachal Pradesh,5843,476,141,11,23,3,51,2,87,7,7,NA,21,NA,314,5,519,21,837,126,94,NA,128,5,NA,NA
7,State,Jammu & Kashmir,16042,494,229,9,7,NA,88,3,368,NA,49,NA,47,NA,484,13,1876,25,4561,204,64,NA,85,NA,NA,NA
8,State,Karnataka,107813,3273,1911,77,18,NA,100,NA,253,22,687,11,468,9,4035,48,8630,229,35832,1225,471,6,761,14,109,NA
9,State,Kerala,75354,2326,952,28,9,1,109,NA,113,NA,154,NA,259,2,2107,8,2509,23,29168,1025,237,4,357,2,127,NA
10,State,Madhya Pradesh,219674,1795,5958,40,282,NA,1718,NA,1536,21,1560,5,3094,62,11930,380,24715,222,40115,301,1332,15,1520,17,5,NA
