SL. No.,Category,States/U.Ts./Cities,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Other,By Religion - Total,By Community - Schedule Caste,By Community - Schedule Tribe,By Community - Other,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric/Hr. Sec.,By Education - Matric/ Higher Secondary and Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Set-Up - Lower Income (Below Rs. 150/PM),By Economic Set-Up - Lower Middle Income (Above Rs.150 But Below Rs. 500 P.M.),By Economic Set-Up - Upper Middle Income (Above Rs. 500 But Below Rs.1000P.M.),By Economic Set-Up - Upper Income (Above Rs. 1000 P.M.),By Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
1,State,Andhra Pradesh,1335,536,NA,182,415,2468,557,453,1458,2468,1416,517,378,157,2468,1093,550,825,2468,1410,737,283,38,2468,1961,507,2468
2,State,Assam,4526,2051,4,90,548,7219,3770,330,3119,7219,1981,1647,565,3026,7219,4853,1363,1003,7219,2849,1597,2701,72,7219,5827,1392,7219
3,State,Bihar,2398,801,19,81,127,3426,840,504,2082,3426,1765,809,562,290,3426,2136,1080,210,3426,1920,966,402,138,3426,3342,84,3426
4,State,Gujarat,23395,8777,184,532,1928,34816,6960,11558,16298,34816,16736,12162,4079,1839,34816,27083,4769,2964,34816,20453,11151,2507,705,34816,29091,5725,34816
5,State,Haryana,2156,188,443,55,137,2979,784,609,1586,2979,1218,937,507,317,2979,1698,768,513,2979,1980,939,25,35,2979,935,2044,2979
6,State,Himachal Pradesh,813,11,13,14,50,901,161,33,707,901,292,324,236,49,901,813,62,26,901,416,362,92,31,901,827,74,901
7,State,Jammu and Kashmir,148,821,17,4,222,1212,41,NA,1171,1212,214,207,117,674,1212,390,168,654,1212,372,361,172,307,1212,1012,200,1212
8,State,Karnataka,1850,602,8,83,3313,5856,488,350,5018,5856,3817,1115,532,392,5856,4671,720,465,5856,4309,828,482,237,5856,5591,265,5856
9,State,Kerala,347,101,NA,74,NA,522,15,NA,507,522,136,188,186,12,5225,323,162,37,522,286,164,68,4,522,500,22,522
10,State,Madhya Pradesh,15557,2413,178,167,1210,19525,2015,1647,15863,19525,9368,4606,3752,1799,19525,16427,2491,607,19525,13290,4450,1625,160,19525,18198,1327,19525
11,State,Maharashtra,27722,10432,624,1498,7305,47581,11819,7110,28652,47581,17593,18652,8673,2663,47581,33940,8689,4952,47581,25134,15984,5483,980,47581,40667,6914,47581
12,State,Manipur,307,27,NA,256,35,625,8,35,582,625,303,212,110,NA,625,482,143,NA,625,202,187,152,84,625,625,NA,625
13,State,Meghalaya,52,61,NA,31,5,149,16,48,85,149,97,34,16,2,149,115,33,1,149,100,42,6,1,149,108,41,149
14,State,Nagaland,35,41,NA,21,4,101,58,21,22,101,33,47,21,NA,101,45,35,21,101,87,14,NA,NA,101,76,25,101
15,State,Orissa,391,26,1,7,124,549,138,76,335,549,318,122,72,37,549,233,99,217,549,354,157,30,8,549,353,196,549
16,State,Punjab,657,12,NA,62,882,1613,352,405,856,1613,662,720,183,48,1613,1549,52,12,1613,890,654,63,6,1613,1572,41,1613
17,State,Rajasthan,4322,949,176,10,389,5846,807,1067,3972,5846,1767,1941,1390,748,5846,5112,182,552,5846,2613,785,2211,237,5846,5329,517,5846
18,State,Sikkim,33,NA,NA,2,8,43,4,4,35,43,NA,40,3,NA,43,35,6,2,43,32,11,NA,NA,43,33,10,43
19,State,Tamil Nadu,16908,2320,17,2379,774,22398,5268,1388,15742,22398,10839,8145,3312,102,22398,15191,5972,1235,22398,16054,5875,438,31,22398,20008,2390,22398
20,State,Tripura,452,109,NA,NA,NA,561,79,60,422,561,72,328,123,38,561,93,107,361,561,521,40,NA,NA,561,298,263,561
21,State,Uttar Pradesh,683,53,19,NA,21,776,64,25,687,776,655,93,28,NA,776,590,115,71,776,660,95,16,5,776,726,50,776
22,State,West Bengal,1757,1053,5,172,636,3623,513,520,2590,3623,1910,1168,510,35,3623,2207,1145,271,3623,2182,1247,194,NA,3623,3506,117,3623
Total (States),State,Total (States),105844,31384,1708,5720,181331,162789,34757,26243,101789,162789,71192,54014,25355,12228,162789,119079,28711,14999,162789,96114,46646,16950,3079,162789,140585,22204,162789
23,UT,A & N Islands,205,48,NA,27,NA,280,NA,3,277,280,46,172,28,34,390,255,25,NA,280,60,196,16,8,280,235,45,280
24,UT,Arunachal Pradesh,35,9,NA,12,81,137,12,92,33,137,27,58,47,5,137,69,67,1,137,18,58,51,10,137,137,NA,137
25,UT,Chandigarh,44,3,27,2,45,121,15,11,95,121,13,83,17,8,121,86,31,4,121,11,89,17,4,121,112,9,121
26,UT,D & N Haveli,27,NA,NA,NA,NA,27,1,5,21,27,6,19,1,1,27,27,NA,NA,27,22,5,NA,NA,27,27,NA,27
27,UT,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,"Goa, Daman & Diu",363,27,8,126,11,535,11,NA,524,535,147,175,175,20,535,466,31,38,535,214,271,45,5,535,525,10,535
29,UT,Lakshadweep,NA,5,NA,NA,NA,5,NA,5,NA,5,NA,4,4,NA,5,5,NA,NA,5,NA,5,NA,NA,5,5,NA,5
30,UT,Mizoram,21,42,NA,411,71,545,63,411,71,545,67,285,285,138,545,413,128,4,545,99,423,12,11,545,434,111,545
31,UT,Pondicherry,804,12,NA,53,29,989,157,2,739,898,253,21,21,NA,898,567,284,47,898,835,63,NA,NA,898,762,136,898
Total (UTs),UT,Total (UTs),1499,146,35,631,237,2548,259,529,1760,2548,559,578,578,206,2548,1888,566,94,2548,1259,1110,141,38,2548,2237,311,2548
Total (All-India),Total (All-India),Total (All-India),107343,31530,1743,6351,18370,165337,35016,26772,103549,165337,71751,25933,25933,12434,165337,120967,29277,15093,165337,97373,47756,17091,3117,165337,142822,22515,165337
1,City,Ahmedabad,9351,1680,108,318,397,11854,2236,5542,4076,11854,6658,1529,1529,894,11854,10063,1480,311,11854,7782,3049,915,108,11854,10101,1753,11854
2,City,Bangalore,379,103,2,34,1229,1747,83,31,1633,1747,1042,100,100,9,1747,1414,106,227,1747,1472,146,127,2,1747,1694,53,1747
