SL. No.,Category,States/U.Ts/Cities,Opium Act - Incidence (I),Opium Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Arms Act - Incidence (I),Arms Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
1,State,Andhra Pradesh,5,Neg.,1871,3.4,9,Neg.,NA,NA,29349,53.4,2177,4,22,Neg.,102204,185.9,14,Neg.,156,0.3,243,0.4,121542,221.1,257592,468.5
2,State,Assam,19,0.1,1765,8.6,147,0.7,NA,NA,410,2,2,Neg.,NA,NA,996,4.8,77,0.4,163,0.8,102,0.5,914,4.4,4595,22.3
3,State,Bihar,3,Neg.,850,1.2,NA,NA,8,Neg.,317,0.4,17,Neg.,4,Neg.,708,1,306,0.4,1412,2,451,0.6,2237,3.1,6313,8.8
4,State,Gujarat,NA,NA,NA,NA,12927,347.7,3,Neg.,22456,64,12,Neg.,NA,NA,90,0.3,455,1.3,432,1.2,59,0.2,27321,77.9,172755,492.6
5,State,Haryana,2482,18.5,11450,85.4,NA,NA,NA,NA,2478,18.5,1,Neg.,18,0.1,NA,NA,202,1.5,1471,11,9,0.1,1568,11.7,19679,146.9
6,State,Himachal Pradesh,43,1,3589,81.6,NA,NA,NA,NA,28,0.6,NA,NA,1,Neg.,NA,NA,3,0.1,99,2.2,NA,NA,684,15.5,4447,101.1
7,State,Jammu & Kashmir,4,0.1,47,0.7,NA,NA,NA,NA,117,1.9,NA,NA,16,0.3,NA,NA,NA,NA,69,1.1,13,0.2,782,12.7,1047,17
8,State,Karnataka,6,Neg.,2250,5.9,2,Neg.,NA,NA,10424,27.2,2753,7.2,NA,NA,493017,1287.9,53,0.1,72,0.2,66,0.2,49572,129.5,558215,1458.2
9,State,Kerala,NA,NA,8,Neg.,1,Neg.,NA,NA,522,2,22,0.1,NA,NA,95,0.4,9,Neg.,59,0.2,57,0.2,2644,10.1,3417,13.1
10,State,Madhya Pradesh,328,0.6,12939,24.1,2,Neg.,NA,NA,13603,25.3,2,Neg.,19,Neg.,110661,206,6757,12.6,3183,5.9,196,0.4,59379,110.5,207069,385.6
11,State,Maharashtra,5,Neg.,NA,NA,157708,244.1,NA,NA,53570,82.9,924,1.4,1,Neg.,42370,65.6,24213,37.5,689,1.1,23,Neg.,308762,477.8,588265,910.3
