SL. No.,Heads of Crime,Persons Arrested,Percentage to Total Persons Arrested
1,Arms Act,61733,1.9
2,Opium Act,14755,0.5
3,Gambling Act,359225,10.9
4,Excise Act,116128,3.6
5,Prohibition Act,337609,10.3
6,Explosive & Explosive Substances Act,3583,0.1
7,Suppression of Immoral Traffic Act,20937,0.6
8,Motor Vehicles Act,1092134,33.4
9,Prevention of Corruption Act,352,Neg.
10,Customs Act,75,Neg.
11,Indian Railways Act,44357,1.4
12,Miscellaneous Act,1220038,37.3
13,Total,3270926,100
