SL. No.,Category,State/U.Ts./Cities,1981,1982,1983,1984,1985,Quinquennial Average of 1981 to 1985 (Q.A.),1986,"Percentage Variation in 1986 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation in 1986 (+) Increase, (-) Decrease - Over - 1985",Volume of Crime Per Lakh of Population in 1986
1,State,Andhra Pradesh,75294,79722,84773,82559,82219,80913,81322,0.5,-1.1,137.3
2,State,Assam,43797,43632,48979,35145,34459,41202,38108,-7.5,10.6,169.4
3,State,Bihar,107006,106768,108662,104763,100549,105550,105901,0.3,5.3,135.2
4,State,Gujarat,78639,80740,79559,83930,87336,82041,83001,1.2,-5,218.8
5,State,Haryana,16699,16563,16774,17912,20001,17590,21797,23.9,9,145.9
6,State,Himachal Pradesh,4197,3989,4430,5065,5299,4596,5955,29.6,12.4,125.9
7,State,Jammu & Kashmir,15973,15523,17139,17122,19440,17039,19855,16.5,2.1,294.3
8,State,Karnataka,79605,74479,77304,78866,83580,78767,81540,3.5,-2.4,196
9,State,Kerala,48064,46096,47309,48932,49146,47909,53911,12.5,9.7,192.5
10,State,Madhya Pradesh,169119,170310,166355,167945,171553,169056,170673,1,-0.5,291.3
11,State,Maharashtra,172976,165747,157249,163667,166672,165263,182026,10.1,9.2,259.5
12,State,Manipur,3278,3081,3069,2886,3203,3103,2604,-16.1,-18.7,160.4
13,State,Meghalaya,2122,1733,1646,1613,1752,1773,1594,-10.1,-9,103
14,State,Nagaland,993,1058,1940,1964,2122,1615,1559,-3.5,-26.5,162.4
15,State,Orissa,47780,48060,44662,44817,44838,46031,45103,-2,0.6,155.4
16,State,Punjab,13588,12263,13960,12828,11185,12765,13224,3.6,18.2,71
17,State,Rajasthan,67052,73610,71367,71672,78876,72515,81118,11.9,2.8,205.2
18,State,Sikkim,295,226,257,283,325,277,373,34.7,14.8,97
19,State,Tamil Nadu,118471,115410,114416,113714,119455,116294,116276,0,-2.7,220
20,State,Tripura,4178,5486,5900,6025,5461,5410,4714,-12.9,-13.7,201.2
21,State,Uttar Pradesh,185485,167747,164926,180189,184786,176628,184818,4.6,0,149.2
22,State,West Bengal,89207,83379,81239,74899,70346,79814,68526,-14.1,-2.6,113
Total (States),State,Total (States),1343818,1315622,1311915,1316796,1342603,1326151,1363998,2.9,1.6,180.9
23,UT,A & N Islands,737,702,755,739,672,721,719,-0.3,7,296.6
24,UT,Arunachal Pradesh,841,1011,1071,960,1012,979,1280,30.7,26.5,174.4
25,UT,Chandigarh,1683,1617,1612,1806,1767,1697,1510,-11,-14.5,251.4
26,UT,D & N Haveli,192,272,205,283,382,267,464,73.8,21.5,389.9
27,UT,Delhi,30636,27163,27360,30773,30412,29269,29828,1.9,-1.9,385.9
28,UT,"Goa, Daman & Diu",3418,3218,2936,3090,3873,3307,4650,40.6,20.1,376.5
29,UT,Lakshadweep,12,15,18,23,28,19,20,5.3,-28.6,45.9
30,UT,Mizoram,1506,1709,1696,1577,1213,1540,1006,-34.7,-17.1,165.5
31,UT,Pondicherry,2914,2575,2298,2613,2769,2634,2360,-10.4,-14.8,345.8
Total (UTs),UT,Total (UTs),41939,38282,37951,41864,42128,40433,41837,3.5,-0.7,348.8
All India,All India,All India,1385757,1353904,1349866,1358660,1384731,1366584,1405835,2.9,1.5,183.5
1,City,Ahmedabad,10502,11432,10500,10156,10703,10658,10505,-1.4,-1.8,NA
2,City,Bangalore,17122,14818,14149,16354,16019,15692,16592,5.7,3.6,NA
3,City,Bombay,35263,34696,31722,31150,35977,33762,36643,8.5,1.9,NA
4,City,Calcutta,13951,13249,14062,13877,14644,13957,14013,0.4,-4.3,NA
5,City,Delhi,29341,25855,26070,29243,28823,27866,27813,-0.2,-3.5,NA
6,City,Hyderabad,6870,6510,6649,7491,7579,7020,7481,6.6,-1.3,NA
7,City,Jaipur,5577,5173,4491,5137,5411,5158,4988,-3.3,-7.8,NA
8,City,Kanpur,5882,6017,6638,6226,7278,6408,7632,19.1,4.9,NA
9,City,Lucknow,10291,9100,6659,6839,4778,7533,4814,-36.1,0.8,NA
10,City,Madras,15693,13375,13816,10561,11834,13056,13466,3.1,13.8,NA
11,City,Nagpur,5750,16763,6148,7060,7929,8730,8832,1.2,11.4,NA
12,City,Pune,8031,7892,7517,8319,9165,8185,9422,15.1,2.8,NA
Total (Cities),City,Total (Cities),164273,164880,148421,152413,160140,158025,162201,0.3,1.3,NA
