SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed during the year,Persons in custody or on bail during the stage of trial at the end of the year,Persons convicted during the year,Percentage of persons in custody or on bail pendind trial to number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,199285,548,49828,148909,30935,74.7,62.1
2,Narcotic Drugs & Psychotropic Substances Act,39898,111,11050,28737,7144,72,64.7
3,Gambling Act,588066,1807,288295,297964,223467,50.7,77.5
4,Excise Act,280200,551,94732,184917,66750,66,70.5
5,Prohibition Act,829363,13466,231931,583966,128856,70.4,55.6
6,Explosive & Explosive Substances Act,11476,144,2664,8668,1467,75.5,55.1
7,Immoral Traffic (Prevention) Act,24697,203,15220,9274,13430,37.6,88.2
8,Motor Vehicles Act,1382380,5976,957480,418924,747443,30.3,78.1
9,Prevention of Corruption Act,725,3,183,593,60,74.3,32.8
10,Customs Act,132,2,53,77,13,58.3,24.5
11,Indian Railways Act,60049,6091,41684,12274,39853,20.4,95.6
12,Other Offences under Local and Special Laws,1536987,18102,1153554,365331,970754,23.8,84.2
13,Total Cognizable Crimes Under Local & Special Laws,4953258,47004,2846674,2059580,2230172,41.6,78.3
