SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - Incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
1,State,Andhra Pradesh,1599,2.7,21,Neg.,428,0.7,558,0.9,330,0.6,575,1,6676,11.3,11838,20,3157,5.3,619,1,1161,2,109,0.2,54251,91.6,81322,137.3
2,State,Arunachal Pradesh,48,6.5,2,0.3,9,1.2,11,1.5,18,1.8,29,4,143,19.5,253,34.5,13,1.8,19,2.6,6,0.8,NA,NA,734,100,1280,174.4
3,State,Assam,720,3.2,37,0.2,398,1.8,898,4,446,2,575,2.6,4236,18.8,9150,40.7,4531,20.1,504,2.2,584,2.6,1,Neg.,16028,71.2,38108,169.4
4,State,Bihar,3470,4.4,613,0.8,794,1,1650,2.1,2961,3.8,2226,2.8,9339,11.9,18623,23.8,16816,21.5,1375,1.8,1437,1.8,49,0.1,46548,59.4,105901,135.2
5,State,Gujarat,1179,3.1,17,Neg.,149,0.4,557,1.5,236,0.6,826,2.2,5646,14.9,17913,47.2,2277,6,1458,3.8,796,2.1,63,0.2,51884,136.8,83001,218.8
6,State,Haryana,417,2.8,110,0.7,142,1,182,1.2,36,0.2,70,0.5,2133,14.3,3524,23.6,245,1.6,283,1.9,423,2.8,10,0.1,14222,95.2,21797,145.9
7,State,Himachal Pradesh,59,1.2,18,0.4,52,1.1,90,1.9,2,Neg.,23,0.5,719,15.2,617,13,302,6.4,98,2.1,99,2.1,4,0.1,3872,81.9,5955,125.9
8,State,Jammu & Kashmir,87,1.3,9,0.1,187,2.8,509,7.5,15,0.2,29,0.4,1532,22.7,3326,49.3,1805,26.7,231,3.4,267,4,NA,NA,11858,175.7,19855,294.2
9,State,Karnataka,1071,2.6,23,0.1,133,0.3,329,0.8,239,0.6,475,1.1,7206,17.3,16857,40.5,6019,14.5,797,1.9,1538,3.7,302,0.7,46551,111.9,81540,196
10,State,Kerala,535,1.9,36,0.1,138,0.5,149,0.5,32,0.1,149,0.5,3856,13.8,3054,10.9,5131,18.3,362,1.3,1220,4.4,224,0.8,39025,139.3,53911,192.5
11,State,Madhya Pradesh,2650,4.5,40,0.1,1506,2.6,995,1.7,294,0.5,1781,3,18249,31.1,37178,63.5,4540,7.7,1485,2.5,1657,2.8,37,0.1,100261,171.1,170673,291.3
12,State,Maharashtra,2222,3.2,109,0.2,804,1.1,1081,1.5,606,0.9,3425,4.9,16575,23.6,55558,79.2,5189,7.4,2693,3.8,2710,3.9,272,0.4,90782,129.4,182026,259.5
13,State,Manipur,70,4.3,4,0.2,10,0.6,158,9.7,38,2.3,51,3.1,212,13.1,742,45.7,118,7.3,61,3.8,103,6.3,8,0.5,1029,63.4,2604,160.3
14,State,Meghalaya,98,6.3,4,0.3,19,1.2,24,1.6,23,1.5,36,2.3,125,8.1,389,25.1,79,5.1,23,1.5,26,1.9,NA,NA,745,48.1,1594,103
15,State,Mizoram,37,6.1,4,0.7,46,7.6,5,0.8,2,0.3,18,3,112,18.4,205,33.7,2,0.3,32,5.3,22,3.6,7,1.1,514,84.5,1006,165.5
16,State,Nagaland,50,5.2,3,0.3,10,1,15,1.6,25,2.6,94,9.8,277,28.9,388,40.4,36,3.8,35,3.6,49,5.1,3,0.3,574,59.8,1559,162.4
17,State,Orissa,639,2.2,59,0.2,172,0.6,269,0.9,248,0.9,684,2.4,5213,18.4,10191,35.1,2223,7.7,476,1.6,297,1,6,Neg.,24626,84.8,45103,155.4
18,State,Punjab,1101,5.9,159,0.9,49,0.3,172,0.9,51,0.3,361,1.9,1363,7.3,1939,10.4,91,0.5,252,1.4,299,1.6,1,Neg.,7386,39.7,13224,71
19,State,Rajasthan,1112,2.8,51,0.1,598,1.5,1738,4.4,62,0.2,1106,2.8,6438,16.3,12263,31,13234,33.5,1007,2.5,2708,6.8,36,0.1,40765,103.1,81118,205.2
