SL. No.,Category,States/U.Ts./Cities,Cases Reported Under Local & Special Laws Against Juveniles - Arms Act,Cases Reported Under Local & Special Laws Against Juveniles - Narcotic Drugs & Psychotropic Substances Act,Cases Reported Under Local & Special Laws Against Juveniles - Gambling Act,Cases Reported Under Local & Special Laws Against Juveniles - Excise Act,Cases Reported Under Local & Special Laws Against Juveniles - Prevention of Corruption Act,Cases Reported Under Local & Special Laws Against Juveniles - Customs Act,Cases Reported Under Local & Special Laws Against Juveniles - Indian Railways Act,Cases Reported Under Local & Special Laws Against Juveniles - Other Offences,Cases Reported Under Local & Special Laws Against Juveniles - Total,Cases Reported Under Local & Special Laws Against Juveniles - Prohibition Act,Cases Reported Under Local & Special Laws Against Juveniles - Explosive & Explosive Substances Act,Cases Reported Under Local & Special Laws Against Juveniles - Immoral Traffic (Prevention) Act,Cases Reported Under Local & Special Laws Against Juveniles - Motor Vehicle Act
1,State,Andhra Pradesh,NA,NA,27,1,NA,NA,NA,3011,4571,NA,NA,91,1441
2,State,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,State,Assam,11,NA,40,28,NA,NA,2,94,185,10,NA,NA,NA
4,State,Bihar,NA,NA,24,17,NA,NA,NA,32,97,NA,24,NA,NA
5,State,Gujarat,44,NA,2476,NA,NA,NA,3,4499,14755,7716,4,5,8
6,State,Haryana,82,16,216,642,NA,NA,7,79,1042,NA,NA,NA,NA
7,State,Himachal Pradesh,2,7,2,281,NA,NA,NA,43,335,NA,NA,NA,NA
8,State,Jammu & Kashmir,9,1,1,NA,NA,NA,NA,21,32,NA,NA,NA,NA
9,State,Karnataka,NA,NA,129,48,NA,NA,NA,85,509,NA,NA,97,150
10,State,Kerala,NA,NA,17,6,2,NA,NA,55,82,NA,NA,NA,2
11,State,Madhya Pradesh,352,2,1156,434,NA,NA,139,15,6524,NA,NA,NA,4426
12,State,Maharashtra,76,97,4314,NA,2,NA,3295,4649,18892,6321,NA,15,123
13,State,Manipur,5,94,38,118,NA,NA,NA,31,287,NA,NA,1,NA
14,State,Meghalaya,NA,NA,10,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
15,State,Mizoram,5,20,1,NA,NA,NA,NA,118,175,NA,NA,NA,31
16,State,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,State,Orissa,NA,NA,12,3,NA,NA,21,18,54,NA,NA,NA,NA
18,State,Punjab,21,10,110,185,NA,NA,10,9,345,NA,NA,NA,NA
19,State,Rajasthan,109,4,106,17,NA,NA,4,27,310,NA,NA,3,40
20,State,Sikkim,NA,NA,3,NA,NA,NA,NA,NA,48,NA,NA,NA,45
21,State,Tamil Nadu,NA,21,1723,NA,NA,NA,1,20582,27079,1290,1,859,2602
22,State,Tripura,NA,NA,2,NA,NA,NA,NA,5,7,NA,NA,NA,NA
23,State,Uttar Pradesh,11,NA,14,NA,NA,NA,14,233,272,NA,NA,NA,NA
24,State,West Bengal,8,NA,134,NA,NA,NA,80,193,473,50,8,NA,NA
Total (States),State,Total (States),735,272,10555,1780,4,NA,3576,33799,76084,15387,37,1071,8868
25,UT,A & N Islands,NA,NA,11,67,NA,NA,NA,33,120,3,1,NA,5
26,UT,Chandigarh,14,8,21,26,NA,NA,NA,38,107,NA,NA,NA,NA
27,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Delhi,433,278,247,103,NA,NA,65,158,1292,NA,1,7,NA
29,UT,"Goa, Daman & Diu",NA,11,56,NA,NA,NA,1,30,114,NA,NA,12,4
30,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,UT,Pondicherry,NA,NA,29,12,NA,NA,NA,935,1026,NA,NA,NA,50
Total (UTs),UT,Total (UTs),447,297,364,208,NA,NA,66,1194,2659,3,2,19,59
All India,All India,All India,1182,569,10919,1988,4,NA,3642,34993,78743,15390,39,1090,8927
1,City,Ahmedabad,2,NA,787,NA,NA,NA,NA,1044,3412,1577,NA,2,NA
2,City,Bangalore,NA,NA,3,NA,NA,NA,NA,2,158,NA,NA,3,150
3,City,Bombay,3,3,50,NA,NA,NA,NA,249,461,84,NA,NA,72
4,City,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
5,City,Delhi,425,266,246,94,NA,NA,65,121,1218,NA,1,NA,NA
6,City,Hyderabad,NA,NA,NA,1,NA,NA,NA,3013,5051,NA,NA,91,1946
7,City,Jaipur,79,2,19,5,NA,NA,NA,2,110,NA,NA,3,NA
8,City,Kanpur,3,NA,3,NA,NA,NA,NA,13,19,NA,NA,NA,NA
9,City,Lucknow,1,NA,5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
10,City,Madras,NA,NA,1075,NA,NA,NA,NA,10930,12129,124,NA,NA,NA
11,City,Nagpur,22,6,413,NA,NA,NA,NA,853,2076,759,NA,NA,23
12,City,Pune,2,91,51,NA,NA,NA,NA,759,1003,99,NA,NA,1
Total (Cities),City,Total (Cities),537,368,2652,100,NA,NA,65,16986,25644,2643,2,99,2192
