SL. No.,States/UTs,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riot,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,50,NA,23,53,12,78,1294,3133,310,74,289,44,7481
2,Andhra Pradesh,Visakhapatnam (U),13,NA,9,12,1,15,261,702,70,32,33,NA,2820
3,Andhra Pradesh,Kakinada,6,NA,3,5,NA,3,80,198,13,4,10,1,633
4,Andhra Pradesh,Rajahmundry,4,NA,5,6,NA,3,106,238,7,8,12,1,668
5,Andhra Pradesh,Uluru,NA,NA,2,NA,NA,NA,27,172,2,1,6,NA,210
6,Andhra Pradesh,Oedivada,3,NA,4,4,2,NA,14,69,10,2,2,1,111
7,Andhra Pradesh,Machilipatnam,7,NA,1,NA,NA,1,21,16,6,1,3,NA,125
8,Andhra Pradesh,Vijayavada (U),13,NA,10,12,3,5,122,315,19,33,86,NA,1498
9,Andhra Pradesh,Gutur,18,NA,4,13,NA,11,55,528,1,21,55,NA,1229
10,Andhra Pradesh,Tenali,3,NA,NA,1,NA,1,8,57,1,2,4,NA,153
11,Andhra Pradesh,Nellore,10,NA,2,16,NA,1,54,218,2,9,14,3,569
12,Andhra Pradesh,Kurnool,12,12,NA,NA,NA,1,34,114,2,NA,10,NA,165
13,Andhra Pradesh,Cuddapah,4,NA,2,1,NA,1,26,118,7,1,NA,1,307
14,Andhra Pradesh,Nizamabad,7,NA,3,2,NA,1,15,116,22,1,4,NA,702
15,Andhra Pradesh,Warangal,12,NA,3,10,2,5,117,204,13,6,33,1,754
1,Assam,Guwahati,30,NA,13,54,14,48,474,873,209,57,54,NA,3182
1,Bihar,Patna,111,13,25,77,48,148,368,1766,166,NA,62,NA,5828
2,Bihar,Gaya,22,1,4,12,24,42,34,211,89,21,11,NA,471
3,Bihar,Arrah,4,2,1,4,5,19,85,179,48,12,8,NA,367
4,Bihar,Muzaffarpur,7,3,2,6,13,25,117,168,42,10,11,NA,404
5,Bihar,Darbhanga,8,1,1,1,4,7,119,95,93,6,7,1,840
6,Bihar,Bhagalpur,24,5,2,20,8,26,67,188,23,8,11,NA,904
7,Bihar,Katihar,2,NA,1,11,8,6,56,22,22,3,2,NA,667
8,Bihar,Chapra,7,NA,1,8,5,7,57,91,40,7,7,5,584
9,Bihar,Bokaro,18,3,8,12,8,30,89,308,72,6,18,NA,1039
10,Bihar,Dhanbad,8,2,8,4,7,12,63,168,39,12,17,NA,769
11,Bihar,Jamshedpur,36,5,10,33,6,11,106,488,60,20,47,NA,1926
12,Bihar,Biharsharif,9,NA,1,11,2,11,45,65,15,14,11,NA,486
1,Gujarat,Ahmedabad City,111,4,4,103,8,69,677,2989,387,155,175,14,10505
2,Gujarat,Surat City,41,1,3,26,6,29,276,806,171,42,43,NA,2986
3,Gujarat,Baroda ity,37,3,5,36,27,29,496,1868,302,64,93,13,5227
4,Gujarat,Rajkot City,18,NA,NA,19,1,2,88,333,47,13,33,2,1591
5,Gujarat,Bhavnagar City,14,NA,1,15,NA,7,54,262,18,9,12,NA,1102
6,Gujarat,Jamnagar City,10,NA,3,11,1,7,88,221,8,12,11,2,1077
7,Gujarat,Nadiad City,10,NA,NA,5,2,1,22,113,3,9,8,1,346
1,Haryana,Hissar,5,1,1,6,NA,2,56,104,5,10,27,NA,592
2,Haryana,Bhiwani,2,1,1,3,NA,NA,27,55,7,NA,8,2,243
3,Haryana,Rewari,NA,1,2,3,NA,NA,16,47,2,4,6,NA,192
4,Haryana,Gurgaon,2,2,6,4,NA,1,64,75,7,7,18,1,725
5,Haryana,Faridabad,14,4,6,12,2,6,149,248,18,35,46,NA,881
6,Haryana,Rohtak,4,1,3,1,1,NA,26,48,7,NA,14,NA,762
7,Haryana,Sonepat,4,3,1,1,1,NA,33,65,7,2,3,NA,450
8,Haryana,Ambala Cantt.,4,NA,3,4,NA,1,30,50,NA,5,8,NA,279
9,Haryana,Ambala City,3,1,2,6,NA,1,28,66,NA,11,7,NA,332
10,Haryana,Yamuna Nagar,2,NA,1,3,NA,NA,42,35,NA,4,1,NA,304
11,Haryana,Karnal City,9,NA,2,4,NA,2,81,132,2,6,11,NA,728
12,Haryana,Panipat,5,1,3,7,NA,1,47,92,2,10,4,NA,435
13,Haryana,Jind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Karnataka,Bangalore City,69,3,25,84,9,211,1120,6467,292,209,655,185,16592
2,Karnataka,K.G.F.,4,NA,1,4,1,2,39,26,11,6,NA,NA,184
3,Karnataka,Tumkur,7,NA,5,4,3,1,215,268,52,11,12,1,879
4,Karnataka,Davanagere,5,NA,2,NA,1,2,43,53,22,13,6,NA,694
5,Karnataka,Shimoga,NA,NA,2,NA,1,NA,2,3,NA,NA,NA,5,36
6,Karnataka,Bhadravathy,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8
