SL. No.,Category,States/U.Ts/Cities,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention) Act,Motor Vehicle Act,Prevention of Corruption Act,Customs Act,Indian Railways Act,Other Offences,Total
1,State,Andhra Pradesh,258,NA,31038,4199,NA,332,1284,348952,NA,NA,NA,209308,595371
2,State,Arunachal Pradesh,15,6,NA,NA,NA,4,NA,NA,NA,NA,NA,11,36
3,State,Assam,267,26,1055,2080,270,95,29,2,2,NA,15,2874,6715
4,State,Bihar,2663,7,1340,2029,NA,601,88,1883,21,NA,357,1880,10869
5,State,Gujarat,788,3,32523,NA,130779,71,83,119,NA,NA,800,46862,212028
6,State,Haryana,1128,1826,3586,11194,NA,27,2,NA,18,NA,221,2243,20245
7,State,Himachal Pradesh,42,133,111,3466,NA,8,NA,NA,4,NA,4,570,4338
8,State,Jammu & Kashmir,165,120,378,18,NA,35,NA,NA,NA,NA,NA,1812,2528
9,State,Karnataka,104,15,14852,2515,9,100,2491,339945,NA,NA,15,26566,386612
10,State,Kerala,98,3,5499,123,405,95,203,519,NA,11,137,4252,11345
11,State,Madhya Pradesh,4146,222,31978,13288,8,404,5,NA,NA,NA,14731,1791,66573
12,State,Maharashtra,1795,1190,73620,NA,147657,177,2124,46169,16,NA,12872,275609,561229
13,State,Manipur,46,394,419,1693,NA,6,47,802,1,NA,NA,186,3594
14,State,Meghalaya,32,4,225,46,1,5,1,NA,NA,NA,NA,463,777
15,State,Mizoram,20,28,71,NA,NA,4,NA,89,NA,NA,NA,675,887
16,State,Nagaland,28,52,2,90,NA,5,2,151,NA,NA,1,176,507
17,State,Orissa,158,47,4088,220,NA,99,5,NA,NA,NA,86,937,5640
18,State,Punjab,3280,3972,3602,22118,NA,34,NA,NA,109,NA,533,1029,34677
19,State,Rajasthan,2834,697,4037,1714,NA,37,65,40724,NA,NA,837,28176,79121
20,State,Sikkim,11,NA,33,313,NA,1,NA,3650,NA,NA,NA,486,4494
21,State,Tamil Nadu,176,739,47497,2,74156,341,9015,290946,NA,26,65,421534,844497
22,State,Tripura,83,NA,67,180,30,NA,NA,120,NA,NA,NA,746,1226
23,State,Uttar Pradesh,38700,714,30732,31657,2,963,920,106557,17,86,2582,50934,263864
24,State,West Bengal,805,164,11661,2391,339,493,167,6954,1,8,14287,147098,184368
Total (States),State,Total (States),57642,10362,298414,99336,353656,3937,16531,1187582,189,131,47543,1226218,3301541
26,UT,A & N Islands,NA,NA,129,1398,71,1,NA,47,2,NA,NA,373,1021
27,UT,Chandigarh,28,39,328,686,NA,NA,7,NA,NA,NA,NA,137,1225
28,UT,D & N Haveli,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,3,6
29,UT,Delhi,1805,2324,2501,1252,NA,27,76,*,2,NA,409,1444,9840
30,UT,"Goa, Daman & Diu",1,121,841,16,NA,1,79,205,NA,NA,72,557,1893
31,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,UT,Pondicherry,2,NA,224,235,NA,2,3,7257,NA,NA,NA,13362,21085
Total (UTs),UT,Total (UTs),1836,2484,4023,3588,71,33,165,7509,4,NA,481,15876,360720
All India,All India,All India,59478,12846,302437,102924,353727,3970,16696,1195091,193,131,48024,1242094,3337611
1,City,Ahmedabad,43,2,6973,NA,13260,NA,41,19,NA,NA,NA,6634,26972
2,City,Bangalore,4,2,905,528,9,17,245,157112,NA,NA,NA,545,159367
3,City,Bombay,313,441,12723,NA,12126,76,2011,45139,NA,NA,NA,219544,292373
4,City,Calcutta,45,158,9022,2214,2,123,167,1204,NA,NA,20,134992,147947
5,City,Delhi,1720,2246,2433,1087,NA,22,76,*,2,NA,409,1131,9126
6,City,Hyderabad,25,NA,2070,4007,NA,6,451,189433,NA,NA,NA,80421,276413
7,City,Jaipur,332,46,395,60,NA,NA,24,NA,NA,NA,NA,140,997
8,City,Kanpur,2713,29,1669,959,NA,41,53,4223,3,NA,NA,6248,15938
9,City,Lucknow,1938,24,956,408,NA,9,NA,2766,NA,NA,NA,291,6392
10,City,Madras,NA,NA,9167,NA,4887,8,1932,77202,NA,23,NA,108703,201922
11,City,Nagpur,136,139,4244,NA,5577,NA,NA,246,NA,NA,NA,3991,14333
12,City,Pune,29,607,1609,NA,7068,2,3,324,NA,NA,2,8369,18013
Total (Cities),City,Total (Cities),7298,3694,52166,9263,42929,304,5003,477668,5,23,431,571009,1169793
