SL. No.,Year,Estimated Mid-Year Population in Millions,Total Cognizable Crime Under the Indian Penal Code,Rate of Crime Per One Lakh of Population
1,1976,613.3,1093897,178.4
2,1977,625.8,1267004,202.5
3,1978,638.4,1344968,210.7
4,1979,651,1336168,205.2
5,1980,663.6,1368529,206.2
6,1981,690.1,1385757,200.8
7,1982,705.2,1353904,192
8,1983,720.4,1349866,187.4
9,1984,735.6,1358660,184.7
10,1985,750.9,1384731,184.4
11,1986,766.1,1405835,183.5
Percentage Change in 1986 Over 1976,Percentage Change in 1986 Over 1976,24.9,28.5,2.9
