SL. No.,Category,States/U.Ts./Cities,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Set-Up - Lower Income (Below Rs. 150/PM),By Economic Set-Up - Lower Middle Income (Above Rs.150/ But Below Rs. 500/PM),By Economic Set-Up - Upper Middle Income (Above Rs. 500/PM But Below Rs. 1000/PM),By Economic Set-Up - Upper Income (Above Rs. 1000PM),By Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Others,By Religion - Total,By Community - Scheduled Caste,By Community - Scheduled Tribe,By Community - Others,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric,By Education - Matric/ Higher Secondary and Above,By Education - Total
1,State,Andhra Pradesh,1484,2948,2040,6472,1608,3295,939,630,6472,5552,920,6472,2670,700,20,843,2239,6472,1785,1656,3031,6472,2357,1963,1208,944,6472
2,State,Arunachal Pradesh,199,42,4,245,38,105,102,NA,245,214,31,245,48,NA,NA,61,136,245,28,172,45,245,15,43,124,63,245
3,State,Assam,1701,1003,402,3106,1472,762,576,296,3106,2134,972,3106,1293,1254,5,86,468,3106,728,524,1854,3106,1149,644,862,451,3106
4,State,Bihar,2475,1029,660,4164,2690,1014,289,171,4164,4050,114,4164,3015,932,52,58,107,4164,1277,940,1947,4164,2171,1068,502,423,4164
5,State,Gujarat,21415,7036,3281,31732,14587,13745,3213,187,31732,27365,4367,31732,20655,9421,134,212,1310,31732,7252,6154,18326,31732,12068,11879,6111,1674,31732
6,State,Haryana,3175,479,89,3743,2554,907,259,23,3743,3304,439,3743,2833,77,538,NA,295,3743,560,38,3145,3743,752,1142,1166,683,3743
7,State,Himachal Pradesh,991,398,25,1414,444,660,150,160,1414,1100,314,1414,1293,47,45,9,20,1414,446,170,798,1414,307,208,581,318,1414
8,State,Jammu & Kashmir,1255,319,51,1625,342,896,228,159,1625,1618,7,1625,1085,329,65,29,117,1625,765,NA,860,1625,769,450,263,143,1625
9,State,Karnataka,1882,420,188,2490,757,1045,321,367,2490,2245,245,2490,1755,492,23,107,113,2490,219,112,2159,2490,895,792,601,202,2490
10,State,Kerala,427,109,16,552,124,249,167,12,552,543,9,552,367,123,NA,NA,62,552,11,NA,541,552,42,120,233,157,552
11,State,Madhya Pradesh,18924,1845,615,21384,15717,4116,1249,302,21384,18933,2451,21384,18833,1836,309,173,233,21384,5642,7364,8378,21384,14000,3888,2268,1228,21384
12,State,Maharashtra,33018,8693,2560,44271,19343,15532,9032,364,44271,40037,4234,44271,27937,10304,799,1432,3799,44271,9953,5296,29022,44271,15474,15001,13259,537,44271
13,State,Manipur,724,81,8,813,64,100,278,371,813,748,65,813,358,197,NA,151,107,813,144,293,376,813,76,177,202,358,813
14,State,Meghalaya,39,22,7,68,11,25,24,8,68,61,7,68,14,16,1,36,1,68,8,38,22,68,15,9,18,26,68
15,State,Mizoram,395,257,4,656,185,351,93,27,656,477,179,656,26,18,NA,604,8,656,44,612,NA,656,73,133,200,250,656
16,State,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,State,Orissa,309,183,63,555,233,160,158,4,555,516,39,555,445,57,8,35,10,555,303,80,172,555,235,183,84,53,555
18,State,Punjab,547,45,40,632,197,222,137,76,632,584,48,632,214,3,NA,11,404,632,59,44,529,632,181,133,162,156,632
19,State,Rajasthan,2811,409,269,3489,1203,1212,361,713,3489,3190,299,3489,2643,737,45,14,50,3489,395,799,2295,3489,826,1264,1086,313,3489
20,State,Sikkim,78,36,NA,114,63,29,18,4,114,93,21,114,61,8,NA,NA,45,114,14,19,81,114,23,14,77,NA,114
21,State,Tamil Nadu,20349,8017,3171,31537,18884,11226,708,719,31537,28581,2956,31537,22908,3635,3,3785,1206,31537,12931,3633,14973,31537,14035,14287,2735,480,31537
22,State,Tripura,225,47,23,295,142,103,50,NA,295,222,73,295,110,143,NA,NA,42,295,34,31,230,295,123,150,12,10,295
23,State,Uttar Pradesh,321,137,83,541,413,101,27,NA,541,454,87,541,331,147,6,7,50,541,155,112,274,541,343,130,46,22,541
24,State,West Bengal,1548,607,143,2298,501,1216,408,173,2298,1873,425,2298,961,1022,35,153,127,2298,623,230,1445,2298,874,492,653,279,2298
Total (States),State,Total (States),114292,34162,13742,162196,81572,57071,18787,4766,162196,143894,18302,162196,109855,31498,2088,7806,10949,162196,43376,28317,90503,162196,66803,54170,32453,8770,162196
25,UT,A & N Islands,212,95,NA,307,29,205,73,NA,307,285,22,307,194,14,3,96,NA,307,NA,NA,307,307,14,174,84,35,307
26,UT,Chandigarh,190,80,87,357,150,165,28,14,357,338,19,357,95,3,84,2,173,357,15,11,331,357,183,83,80,11,357
27,UT,D & N Haveli,67,NA,NA,67,32,22,6,7,67,65,2,67,67,NA,NA,NA,NA,67,NA,44,23,67,16,48,3,NA,67
28,UT,Delhi,NA,NA,NA,4698,NA,NA,NA,NA,4698,NA,NA,4698,NA,NA,NA,NA,NA,4698,NA,NA,NA,4698,NA,NA,NA,NA,4698
29,UT,"Goa, Daman & Diu",660,116,46,822,328,344,85,65,822,752,70,822,376,61,NA,381,4,822,8,NA,814,822,133,328,259,102,822
30,UT,Lakshadweep,6,NA,NA,6,NA,6,NA,NA,6,6,NA,6,NA,6,NA,NA,NA,6,6,NA,NA,6,NA,NA,6,NA,6
31,UT,Pondicherry,1334,337,25,1696,1565,131,NA,NA,1696,1593,103,1696,1557,11,NA,15,113,1696,125,NA,1571,1696,1272,403,21,NA,1696
Total (UTs),UT,Total (UTs),2469,628,158,7953,2104,873,192,86,7953,3039,216,7953,2289,95,87,494,290,7953,154,55,3046,7953,1618,1036,453,148,7953
All India,All India,All India,116761,34790,13900,170149,83676,57944,18979,4852,170149,146933,18518,170149,112144,31593,2175,8300,11239,170149,43530,28372,93549,170149,68421,55206,32906,8918,170149
