SL. No.,Category,State/U.Ts/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Motor Vehicle Act - Incidence (I),Motor Vehicle Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other Offences under Total of Local & Special Laws - Incidence (I),Other Offences under Total of Local & Special Laws - Volume (V),Total of Local & Special Laws - Incidence (I),Total of Local & Special Laws - Volume (V)
1,State,Andhra Pradesh,233,0.4,NA,NA,26770,45.2,3110,5.3,NA,NA,252,0.4,1535,2.6,317204,535.7,NA,NA,NA,NA,8,Neg.,200611,338.8,549723,928.3
2,State,Arunachal Pradesh,8,1.1,5,0.7,NA,NA,NA,NA,NA,NA,3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1.5,27,3.7
3,State,Assam,239,1.1,17,0.1,373,1.7,1906,8.5,173,0.8,18,0.1,3,Neg.,NA,NA,5,Neg.,NA,NA,12,0.1,1733,7.7,4479,19.9
4,State,Bihar,2232,2.9,4,Neg.,439,0.6,1369,1.8,NA,NA,610,0.8,6,Neg.,1323,1.7,6,Neg.,1,Neg.,505,0.6,2147,2.7,8642,11
5,State,Gujarat,616,1.6,2,Neg.,14095,37.2,NA,NA,122681,323.4,69,0.2,8,Neg.,107,0.3,NA,NA,NA,NA,565,1.5,30297,79.9,168440,444
6,State,Haryana,1141,7.6,1811,12.1,1836,12.3,10146,67.9,NA,NA,29,0.2,1,Neg.,NA,NA,21,0.1,NA,NA,170,1.1,1938,13,17093,114.4
7,State,Himachal Pradesh,44,0.9,122,2.6,21,0.4,3335,70.5,NA,NA,9,0.2,NA,NA,NA,NA,1,Neg.,NA,NA,3,0.1,355,7.5,3890,82.2
8,State,Jammu & Kashmir,153,2.3,57,0.8,114,1.7,8,0.1,NA,NA,29,0.4,1,Neg.,NA,NA,NA,NA,NA,NA,NA,NA,1565,23.2,1927,28.6
9,State,Karnataka,74,0.2,12,Neg.,5000,12,2035,4.9,2,Neg.,74,1.8,1859,4.5,341416,820.6,NA,NA,NA,NA,48,0.1,21376,51.4,371896,893.9
10,State,Kerala,70,0.2,3,Neg.,731,2.6,161,0.6,383,1.4,68,0.2,47,0.2,499,1.8,NA,NA,13,Neg.,188,0.7,3075,11,5238,18.7
11,State,Madhya Pradesh,4304,7.3,1325,2.3,9286,15.8,10536,18,12,0,152,0.3,3,Neg.,NA,NA,11,Neg.,NA,NA,8290,14.1,4080,7,37999,64.9
12,State,Maharashtra,1236,1.7,916,1.3,42437,60.5,NA,NA,152180,217,151,0.2,1063,1.5,46171,65.8,25,Neg.,NA,NA,12783,18.2,252627,360.2,509589,726.6
13,State,Manipur,26,1.6,244,15,96,5.9,1697,104.5,NA,NA,7,0.4,9,0.6,802,49.4,1,0.1,NA,NA,NA,NA,152,9.4,3034,186.8
14,State,Meghalaya,27,1.7,4,0.3,147,9.5,44,2.8,1,0.1,44,2.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,265,17.1,493,31.8
15,State,Mizoram,20,3.3,22,3.6,13,2.1,NA,NA,NA,NA,5,0.8,NA,NA,85,14,NA,NA,NA,NA,NA,NA,219,36,364,59.9
16,State,Nagaland,25,2.6,30,3.1,1,0.1,59,6.1,NA,NA,4,0.4,1,0.1,95,9.9,NA,NA,NA,NA,1,0.1,232,24.2,448,46.7
17,State,Orissa,119,0.4,33,0.1,913,3.1,214,0.7,1,Neg.,43,0.1,2,Neg.,NA,NA,NA,NA,NA,NA,72,0.2,457,1.6,1854,6.4
18,State,Punjab,3272,17.6,3961,21.3,1786,9.6,21715,116.6,NA,NA,53,0.3,NA,NA,NA,NA,109,0.6,NA,NA,399,2.1,605,3.2,31900,171.3
19,State,Rajasthan,2214,5.6,683,1.7,1619,4.1,1584,4,NA,NA,39,0.1,28,0.1,40617,102.7,NA,NA,NA,NA,667,1.7,23064,58.3,70515,178.3
20,State,Sikkim,17,4.4,NA,NA,9,2.3,313,81.3,NA,NA,1,0.3,NA,NA,3650,948.1,NA,NA,NA,NA,NA,NA,486,126.2,4476,1162.6
21,State,Tamil Nadu,124,0.2,745,1.4,41850,79.2,6,Neg.,89567,169.5,315,0.6,8995,17,301686,570.8,NA,NA,26,Neg.,143,0.3,376016,711.5,819473,1550.6
22,State,Tripura,49,2.1,NA,NA,8,0.3,151,6.4,14,0.6,8,0.3,NA,NA,120,5.1,NA,NA,NA,NA,NA,,530,22.6,880,37.6
23,State,Uttar Pradesh,38334,30.9,684,0.6,6838,5.5,31186,25.2,2,Neg.,936,0.8,641,0.5,106685,86.1,21,Neg.,114,0.1,2915,2.4,40754,32.9,229110,184.9
24,State,West Bengal,589,1,141,0.2,6918,11.4,2265,3.7,219,0.4,301,0.5,87,0.1,5096,8.4,3,Neg.,4,Neg.,10292,17,84585,139.5,110500,182.3
Total (States),State,Total (States),55166,7.3,10821,1.4,161300,21.4,91840,12.2,365235,48.3,3180,0.4,14290,1.9,1165556,154.3,203,Neg.,158,Neg.,37061,4.9,1047180,138.6,2951990,390.7
26,UT,A & N Islands,NA,NA,NA,NA,17,7,1337,552.5,65,26.9,1,0.4,NA,NA,47,19.4,1,0.4,NA,NA,NA,NA,334,138,1802,744.6
27,UT,Chandigarh,26,4.3,39,6.5,187,31.1,560,93.2,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,131,21.8,944,157.1
28,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,2,1.7,NA,NA,2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,7,5.9
29,UT,Delhi,1759,22.6,2290,29.6,823,10.6,1022,13.2,NA,NA,19,0.2,41,0.5,NA,NA,NA,NA,NA,NA,327,4.2,1412,18.3,7693,99.5
30,UT,"Goa, Daman & Diu",1,0.1,103,8.3,652,52.8,15,1.2,NA,NA,1,0.1,70,5.7,201,16.3,NA,NA,NA,NA,72,5.8,526,42.6,1641,132.9
