SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crimes Under IPC,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total
1,State,Andhra Pradesh,275068,59216,81322,48818,9113,57931
2,State,Arunachal Pradesh,83743,734,1280,2080,NA,2080
3,State,Assam,78438,22501,38108,25599,16520,42119
4,State,Bihar,173877,78308,105901,53930,15585,69515
5,State,Gujarat,196024,37932,83001,47004,12214,59218
6,State,Haryana,44212,14936,21797,15729,5631,21360
7,State,Himachal Pradesh,55673,4730,5955,5968,2803,8771
8,State,Jammu & Kashmir,222236,6748,19855,15466,6069,21535
9,State,Karnataka,191791,41604,81540,41010,4943,45953
10,State,Kerala,38863,28008,53911,27039,6647,33686
11,State,Madhya Pradesh,443446,58592,170673,57491,24228,81719
12,State,Maharashtra,307690,70138,182026,101759,11341,113100
13,State,Manipur,22327,1624,2604,152,5391,9543
14,State,Meghalaya,22429,1548,1594,4438,1897,6335
15,State,Mizoram,21081,608,1006,1627,1058,2685
16,State,Nagaland,16579,960,1559,6296,8340,14636
17,State,Orissa,155707,29032,45103,25352,7151,32503
18,State,Punjab,50362,18622,13224,28590,5690,34280
19,State,Rajasthan,342239,39540,81118,39725,7049,46774
20,State,Sikkim,7096,385,373,1439,522,1961
21,State,Tamil Nadu,130058,52849,116276,51241,7464,58705
22,State,Tripura,10486,2343,4714,4986,2592,7578
23,State,Uttar Pradesh,294411,123892,184818,108379,33949,142328
24,State,West Bengal,88752,60625,68526,44567,30304,74871
Total (States),State,Total (States),3272588,755475,1366284,762685,226501,989186
25,UT,A & N Islands,8249,242,719,1763,258,2021
26,UT,Chandigarh,114,601,1510,1505,898,2403
27,UT,D & N Haveli,491,119,464,148,NA,148
28,UT,Delhi,1483,7729,29828,23949,9976,33925
29,UT,"Goa, Daman & Diu",3814,1235,4650,2057,588,2645
30,UT,Lakshadweep,32,44,20,286,NA,286
31,UT,Pondicherry,492,683,2360,998,700,1698
Total (UTs),UT,Total (UTs),14675,10653,39551,30706,12420,43126
All India,All India,All India,3287263,766128,1405835,793391,238921,1032312
