SL. No.,Year,Incidence of Crime,Volume of Crime Per Lakh of Population
1,1982,2970068,421.2
2,1983,2921063,405.5
3,1984,2916808,396.5
4,1985,3096481,412.4
5,1986,2984654,389.6
