SL. No.,Crime Head,1982,1983,1984,1985,1986,Percentage Change in 1986 Over 1985
1,Arms Act,60690,64413,59205,61987,56954,-8.1
2,Narcotic Drugs & Psychotropic Substances Act,14590,14356,14440,14277,13253,-7.2
3,Gambling Act,201630,189863,176829,179419,163097,-9.1
4,Excise Act,112243,113338,107967,106163,95011,-10.5
5,Prohibition Act,356334,388224,365526,356840,365300,2.4
6,Explosive & Explosive Substances Act,3071,3477,2905,3373,3205,-5
7,Immoral Traffic (Prevention) Act,15890,15325,14209,14815,14403,-2.8
8,Motor Vehicles Act,1084506,998067,1137539,1192537,1173061,-1.6
9,Prevention of Corruption Act,278,328,723,503,204,-59.4
10,Customs Act,137,149,102,84,158,88.1
11,Indian Railways Act,41039,48655,36749,32478,37460,15.3
12,Other Offences,1079660,1084868,1000614,1134005,1062548,-6.3
13,Total of All Cognizable Crimes Under Local & Special Laws,2970068,2921063,2916808,3096481,2984654,-3.6
