SL. No.,Category,States/U.Ts/Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riot,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,54,2,29,34,42,19,205,529,227,1,7,NA,1436
2,State,Arunachal Pradesh,2,NA,NA,2,1,1,11,27,71,NA,NA,NA,245
3,State,Assam,66,NA,26,27,93,51,519,857,720,3,4,NA,2853
4,State,Bihar,73,NA,45,38,85,45,290,1008,2049,27,14,NA,4032
5,State,Gujarat,365,3,25,124,103,79,692,1870,1730,56,51,NA,12567
6,State,Haryana,79,8,33,17,5,17,288,424,134,7,12,NA,2489
7,State,Himachal Pradesh,11,6,15,6,NA,2,112,80,184,NA,3,NA,1056
8,State,Jammu & Kashmir,16,NA,4,23,NA,NA,40,114,221,NA,10,NA,1534
9,State,Karnataka,51,NA,5,NA,NA,5,101,339,520,NA,9,1,1817
10,State,Kerala,9,NA,4,NA,NA,5,40,43,265,NA,NA,NA,453
11,State,Madhya Pradesh,337,2,265,88,96,214,1374,1995,2106,13,30,NA,13558
12,State,Maharashtra,463,48,183,169,285,372,1640,4141,3626,176,98,17,20368
13,State,Manipur,13,1,2,34,30,24,72,65,137,NA,NA,3,381
14,State,Meghalaya,NA,NA,NA,NA,NA,NA,1,20,23,NA,NA,NA,55
15,State,Mizoram,12,NA,14,1,NA,9,37,65,3,NA,3,1,324
16,State,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,State,Orissa,3,NA,6,NA,11,3,160,189,9,3,1,NA,496
18,State,Punjab,19,NA,4,4,NA,3,17,24,NA,NA,NA,7,221
19,State,Rajasthan,59,3,27,28,NA,NA,175,328,932,1,13,NA,3139
20,State,Sikkim,NA,NA,1,NA,NA,NA,2,23,17,NA,NA,NA,66
21,State,Tamil Nadu,98,1,22,13,9,27,490,1155,846,NA,NA,NA,3219
22,State,Tripura,NA,NA,3,3,5,NA,20,88,163,NA,NA,NA,282
23,State,Uttar Pradesh,17,2,5,8,1,NA,22,108,NA,NA,5,NA,224
24,State,West Bengal,37,23,12,54,89,28,65,394,961,NA,NA,NA,1701
Total (States),State,Total (States),1784,99,730,673,855,904,6373,13886,14944,287,260,29,72516
25,UT,A & N Islands,5,NA,NA,1,NA,NA,5,13,29,NA,4,NA,187
26,UT,Chandigarh,NA,NA,NA,NA,NA,NA,8,33,5,NA,1,NA,248
27,UT,D & N Haveli,1,NA,NA,1,NA,1,2,11,12,2,NA,NA,67
28,UT,Delhi,89,84,29,76,11,63,148,775,109,27,29,NA,3348
29,UT,"Goa, Daman & Diu",4,2,1,1,10,8,42,133,237,1,1,NA,697
30,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6
31,UT,Pondicherry,7,NA,1,1,NA,5,19,82,132,NA,NA,NA,622
Total (UTs),UT,Total (UTs),106,86,31,80,21,77,230,1047,524,30,35,NA,5175
All India,All India,All India,1890,185,761,753,876,981,6603,14933,15468,317,295,29,77691
1,City,Ahmedabad,82,NA,1,29,3,11,141,457,674,22,19,NA,2467
2,City,Bangalore,4,NA,NA,NA,NA,2,18,130,6,NA,5,NA,380
3,City,Bombay,3,NA,3,1,2,12,2,258,8,7,4,NA,508
4,City,Calcutta,1,NA,NA,NA,NA,NA,1,27,NA,NA,NA,NA,33
5,City,Delhi,84,80,29,74,9,60,133,766,108,26,28,NA,3185
6,City,Hyderabad,NA,NA,NA,NA,NA,NA,23,55,NA,NA,NA,NA,332
7,City,Jaipur,8,NA,NA,9,NA,5,114,156,352,1,10,NA,743
8,City,Kanpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,City,Lucknow,1,NA,NA,2,NA,NA,7,20,NA,NA,1,NA,31
10,City,Madras,25,1,1,3,1,17,28,42,92,NA,NA,NA,373
11,City,Nagpur,11,NA,23,25,22,46,33,138,161,6,9,NA,769
12,City,Pune,34,NA,9,13,1,34,230,477,722,11,22,NA,2536
Total (Cities),City,Total (Cities),253,81,66,156,38,187,730,2526,2123,73,98,NA,11537
