SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Kidnapping & Abduction - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
1,State,Andhra Pradesh,4625,63,4688,28,NA,28,545,NA,545,693,29,722,958,4,962,870,3,873,4353,114,4467,10880,519,11399,29166,663,29829,471,NA,471,144,1,1145,88,NA,88,124066,3448,127514
2,State,Arunachal Pradesh,73,4,77,2,NA,2,8,NA,8,11,1,12,43,NA,43,49,1,50,60,NA,60,203,1,204,97,1,98,19,NA,19,11,NA,11,NA,NA,NA,1520,18,1538
3,State,Assam,1218,39,1257,47,NA,47,356,NA,356,727,11,738,1678,2,1680,858,1,859,4197,5,4202,8670,46,8716,16795,111,16906,453,NA,453,495,NA,495,2,NA,2,54753,250,55003
4,State,Bihar,8115,68,8183,688,48,736,1115,NA,1115,2809,39,2848,8821,96,8917,3989,7,3996,1641,21,1662,2913,78,2991,83866,693,84559,1743,NA,1743,2860,32,2892,63,NA,63,218291,2116,220407
5,State,Gujarat,3160,158,3318,33,NA,33,204,5,209,679,64,743,1246,44,1290,1072,16,1088,4714,142,4856,10365,516,10881,16302,500,16802,1667,42,1709,895,34,929,21,NA,21,117374,4701,122075
6,State,Haryana,1053,61,1114,249,12,261,218,4,222,178,10,188,153,NA,153,112,NA,112,7088,39,7127,22217,450,22667,1371,123,1494,307,2,309,440,NA,440,5,NA,6,32863,544,33407
7,State,Himachal Pradesh,86,12,98,26,3,29,57,NA,57,59,3,62,28,2,30,29,NA,29,393,1,394,497,9,506,1194,208,1402,77,1,78,103,15,118,3,NA,3,7780,1104,8884
8,State,Jammu & Kashmir,185,9,194,6,1,7,180,NA,180,519,2,521,35,NA,35,50,NA,50,709,4,713,2906,24,2930,7529,557,8086,174,1,175,209,1,210,NA,NA,NA,30183,1496,31679
9,State,Karnataka,2174,88,2262,28,NA,28,237,3,240,335,19,354,964,2,966,459,4,463,3726,57,3783,8369,176,8545,40940,1472,42412,677,10,687,884,36,920,31,NA,31,122565,3473,126038
10,State,Kerala,981,49,1030,116,2,118,179,1,180,145,1,146,231,NA,231,185,NA,185,1654,7,1661,1998,48,2046,29796,839,30635,307,11,318,836,50,886,121,3,124,86063,2320,88383
11,State,Madhya Pradesh,5384,1376,6760,111,5,116,2533,NA,2533,1511,67,1578,1397,19,1416,2944,33,2977,10962,928,11890,19886,779,20665,28325,1826,30151,1107,11,1118,1604,33,1637,26,NA,26,224767,2264,227031
