SL. No.,Crime Heads,Persons Arrested - 1985,Persons Arrested - 1986,Percentage Variation in 1986 Over 1985,Percentage to Total Persons Arrested During 1986
1,Murder,63515,67322,6,3.1
2,Culpable Homicide Not Amounting to Murder,8012,8660,8.1,0.4
3,Rape,10279,11515,12,0.5
4,Kidnapping & Abduction,20376,20785,2,0.9
5,Dacoity,44402,41482,-6.6,1.9
6,Robbery,28469,30722,7.9,1.4
7,Burglary,97216,95739,-1.5,4.3
8,Theft,221781,221772,Neg.,10.1
9,Riots,586032,560938,-4.3,25.4
10,Criminal Breach of Trust,15605,16510,5.8,0.7
11,Cheating,18287,21125,15.5,1
12,Counterfeiting,732,933,27.5,Neg.
13,Other IPC Offences,1065704,1107600,3.9,50.2
14,Total Cognizable Crimes Under IPC,2180410,2205103,1.1,100
