SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,50,NA,23,53,12,78,1294,3133,310,74,289,44,7481
2,Andhra Pradesh,Srikakulam,27,NA,10,10,1,2,76,201,126,17,28,NA,3572
3,Andhra Pradesh,Vizianagaram,18,NA,15,15,4,10,98,236,78,27,43,NA,6154
4,Andhra Pradesh,Visakhapatnam (U ),13,NA,9,9,1,15,261,302,70,32,33,NA,2820
5,Andhra Pradesh,Visakhapatnam (R),30,NA,2,2,NA,5,77,208,38,5,8,NA,2018
6,Andhra Pradesh,East Godavary,64,NA,37,37,1,8,422,533,39,60,66,2,3543
7,Andhra Pradesh,West Godavary,52,NA,24,24,9,11,263,377,101,NA,42,NA,2140
8,Andhra Pradesh,Krishna,64,NA,32,32,8,6,147,354,110,11,11,21,2828
9,Andhra Pradesh,Vijayawada (U),17,NA,16,16,6,8,142,315,30,34,87,NA,2669
10,Andhra Pradesh,Guntur,112,1,30,30,19,69,374,408,102,39,134,3,6418
11,Andhra Pradesh,Nellore,61,NA,27,27,10,19,296,370,129,33,41,4,3421
12,Andhra Pradesh,Prakasham,69,NA,7,7,9,25,238,455,106,31,33,6,3128
13,Andhra Pradesh,Kurnool,124,2,4,4,14,9,182,310,75,8,15,5,2131
14,Andhra Pradesh,Cuddapah,86,NA,5,5,16,8,176,411,185,20,NA,1,2142
15,Andhra Pradesh,Anantapur,108,3,11,11,22,8,272,318,240,14,17,7,1748
16,Andhra Pradesh,Chittoor,66,NA,13,13,15,19,364,496,200,39,44,5,3790
17,Andhra Pradesh,Ranga Reddy,66,3,17,17,26,56,394,374,120,30,19,1,1443
18,Andhra Pradesh,Mahaboobnagar,109,3,15,15,18,21,299,417,115,16,14,4,2897
19,Andhra Pradesh,Nizamabad,99,NA,14,14,20,35,266,419,160,12,54,3,2110
20,Andhra Pradesh,Nalgonda,63,2,20,20,13,18,164,308,214,11,24,NA,1048
21,Andhra Pradesh,Medak,56,3,13,13,11,29,175,345,136,10,13,2,2051
22,Andhra Pradesh,Warangal,61,1,22,22,20,36,266,300,148,48,54,1,5514
23,Andhra Pradesh,Khammam,59,1,20,20,2,11,131,340,149,7,25,NA,3774
24,Andhra Pradesh,Karimnagar,63,2,27,27,44,43,185,351,117,23,51,NA,3560
25,Andhra Pradesh,Adilabad,60,NA,15,15,27,24,113,158,47,14,15,NA,2451
26,Andhra Pradesh,SRP Vijyawada,NA,NA,NA,NA,1,1,NA,186,3,2,NA,NA,211
27,Andhra Pradesh,SRP Guntakal,2,NA,NA,NA,1,1,1,113,5,1,1,NA,130
28,Andhra Pradesh,SRP Secunderabad,NA,NA,NA,NA,NA,NA,NA,100,4,1,NA,NA,130
1,Arunachal Pradesh,Lower Subensiri,10,NA,NA,5,2,13,19,60,2,3,2,NA,359
2,Arunachal Pradesh,Upper Subensiri,7,NA,NA,NA,NA,1,12,12,2,NA,NA,NA,59
3,Arunachal Pradesh,West Siang,1,NA,2,1,NA,1,6,31,2,3,NA,NA,120
4,Arunachal Pradesh,East Siang,4,2,3,1,NA,1,17,29,2,2,NA,NA,128
5,Arunachal Pradesh,Lohit,10,NA,1,2,5,5,21,32,NA,3,2,NA,169
6,Arunachal Pradesh,Divang Valley,2,NA,NA,NA,1,2,10,11,1,1,NA,NA,71
7,Arunachal Pradesh,West Kameng,NA,NA,NA,1,NA,2,12,23,NA,2,1,NA,108
8,Arunachal Pradesh,East Kameng,6,NA,2,NA,1,1,7,12,NA,1,NA,NA,61
9,Arunachal Pradesh,Tawang,2,NA,NA,NA,NA,NA,5,8,1,2,NA,NA,31
10,Arunachal Pradesh,Tirap,6,NA,1,1,4,3,34,35,3,2,1,NA,174
1,Assam,Goalpara,14,1,15,19,10,8,196,369,190,30,31,1,1463
2,Assam,Dhubri,21,2,32,45,24,21,218,379,394,27,32,NA,1798
3,Assam,Kokrajhar,31,NA,29,18,43,63,82,437,253,14,21,NA,1476
4,Assam,Kamrup,41,12,31,86,30,58,617,1287,519,110,95,NA,4528
5,Assam,Barpeta,25,1,33,40,22,27,309,331,308,7,25,NA,1846
6,Assam,Nalbari,28,NA,18,31,47,17,13,552,206,8,24,NA,1684
7,Assam,Darrang,37,NA,24,31,61,40,247,354,171,18,13,NA,1521
8,Assam,Sonitpur,50,3,22,55,40,48,302,628,244,31,36,NA,2476
9,Assam,Nagaon,75,2,36,123,36,34,596,970,620,64,102,NA,4543
10,Assam,Jorhat,71,NA,12,88,18,56,311,756,186,27,29,NA,2501
11,Assam,Sibsagar,43,5,18,54,13,44,193,500,129,20,24,NA,2355
12,Assam,Lakhimpur,45,NA,40,82,19,25,249,452,177,42,37,NA,2274
13,Assam,Dibrugarh,144,6,35,93,32,79,361,996,188,41,40,NA,4071
14,Assam,K. I. Anglong,21,2,11,20,24,32,83,164,73,8,12,NA,780
15,Assam,N.C. Hills,6,NA,NA,5,3,5,23,52,8,NA,2,NA,219
16,Assam,Karimaganj,47,3,33,88,6,12,310,703,550,51,47,NA,3443
17,Assam,Cachar,21,NA,9,20,18,6,126,220,315,6,14,NA,1130
1,Bihar,Patna,263,11,27,151,163,217,667,2240,730,182,151,8,9812
2,Bihar,Nalanda,109,11,4,141,62,49,153,441,313,36,36,NA,2490
3,Bihar,Bhojpur,132,10,10,161,137,113,454,482,623,53,41,NA,3596
4,Bihar,Rohtas,183,18,15,52,164,115,367,520,579,21,22,15,3449
5,Bihar,Gaya,104,7,14,33,65,61,235,446,484,70,41,NA,2874
6,Bihar,Jahanabad,70,10,1,20,47,17,70,155,184,21,7,NA,977
7,Bihar,Nawada,34,5,9,37,23,6,11,292,562,16,35,1,1602
8,Bihar,Aurangabad,41,3,8,15,55,25,125,195,320,26,40,NA,1821
9,Bihar,Saran,77,7,10,40,98,72,315,324,840,10,40,NA,3190
10,Bihar,Siwan,75,9,11,24,77,55,386,242,278,34,22,NA,2525
11,Bihar,Gopalganj,48,12,15,36,57,34,183,236,302,27,27,NA,1861
12,Bihar,East Champaran,69,6,23,68,71,40,297,560,747,67,90,3,3702
13,Bihar,West Champaran,56,9,27,59,81,46,215,309,655,46,63,NA,2569
14,Bihar,Muzaffarpur,75,6,10,32,106,57,288,419,565,20,32,NA,3293
15,Bihar,Vaishali,70,12,8,NA,50,6,205,247,202,95,12,NA,1095
16,Bihar,Sitamarhi,46,12,6,28,26,25,170,156,517,8,20,NA,2187
17,Bihar,Darbhanga,41,1,4,18,33,14,293,250,424,10,8,NA,2697
18,Bihar,Samastipur,46,12,15,65,97,42,253,282,475,27,21,NA,2701
19,Bihar,Madhubani,23,4,17,36,43,23,302,288,611,41,24,NA,2671
20,Bihar,Begusarai,72,7,7,59,87,65,215,314,384,36,35,NA,2286
21,Bihar,Bhagalpur,203,120,20,5,80,97,401,620,945,60,20,NA,4414
22,Bihar,Munger,129,9,35,55,150,60,280,545,547,29,52,NA,3858
23,Bihar,Khagaria,29,3,9,24,12,22,50,185,188,11,9,NA,977
24,Bihar,Shahibganj,66,3,20,22,20,16,115,158,247,24,15,NA,1153
25,Bihar,Godda,46,3,6,14,25,11,91,74,160,3,2,NA,900
26,Bihar,Dumka,46,6,38,6,70,17,178,198,240,13,36,NA,1484
27,Bihar,Deoghar,36,NA,6,5,23,12,84,127,93,NA,11,NA,902
28,Bihar,Katihar,34,1,24,42,66,46,157,384,487,35,14,NA,2304
29,Bihar,Saharsa,43,10,24,33,69,53,216,369,499,18,45,NA,2210
30,Bihar,Madhepura,33,1,3,9,65,14,159,176,304,5,43,NA,1147
31,Bihar,Purnea,116,19,58,110,185,93,412,752,1095,71,16,NA,4039
32,Bihar,Hazaribagh,153,35,82,58,190,147,439,858,605,39,61,NA,4327
33,Bihar,Ciridih,72,188,36,30,61,57,280,398,184,10,46,NA,2284
34,Bihar,Bokaro,18,3,8,12,8,30,90,308,72,6,18,NA,1039
35,Bihar,Dhanbad,81,3,37,46,77,59,343,868,284,47,81,22,3701
36,Bihar,Palamau,124,8,1,21,107,39,141,391,294,25,22,NA,1711
37,Bihar,Gumla,88,1,18,19,23,59,76,215,97,13,9,NA,993
38,Bihar,Lohardagga,23,NA,5,3,9,10,29,55,24,7,2,NA,337
39,Bihar,Ranchi,238,16,94,60,57,174,249,872,225,53,63,NA,3808
40,Bihar,Singhbhum,188,7,16,47,70,38,215,398,279,27,20,NA,2318
41,Bihar,Jamshedpur,38,5,10,33,6,11,96,590,57,20,47,NA,1926
42,Bihar,Railway Patna,9,NA,NA,7,10,12,2,592,19,3,8,NA,809
43,Bihar,Railway Jamshedpur,2,NA,NA,2,2,5,8,157,6,1,2,NA,223
44,Bihar,Railway Katihar,6,NA,NA,2,13,31,17,214,10,NA,5,NA,450
45,Bihar,Railway Muzaffarpur,5,NA,1,5,7,12,NA,322,28,4,16,NA,443
46,Bihar,Railway Dhanbad,4,NA,2,2,14,14,4,231,7,5,5,NA,391
47,Bihar,Jamalpur,6,NA,NA,3,1,5,3,168,5,NA,2,NA,355
1,Gujarat,Ahmedabad Rural,54,1,6,27,24,65,302,1032,105,48,29,4,4487
2,Gujarat,Kheda,54,NA,6,27,10,16,215,550,45,119,34,1,2926
3,Gujarat,Anand,47,3,6,21,15,30,279,657,57,100,24,1,3797
4,Gujarat,Sabarkantha,38,1,1,14,7,14,304,515,56,55,23,5,3627
5,Gujarat,Banaskantha,48,NA,2,15,9,75,327,725,88,98,24,4,3697
6,Gujarat,Meshana,32,NA,4,9,7,48,276,1070,172,119,31,NA,4372
7,Gujarat,Patan,25,NA,9,15,14,44,211,581,86,40,11,4,2854
8,Gujarat,Jamnagar,36,NA,9,20,4,24,145,513,26,35,23,3,2528
9,Gujarat,Kutch,28,NA,3,9,4,25,190,354,63,26,44,2,2330
10,Gujarat,Rajkot Rural,47,NA,6,11,4,32,140,791,56,46,10,1,3516
11,Gujarat,Surendranagar,35,1,8,15,3,19,147,384,39,42,23,NA,2316
12,Gujarat,Amreli,31,NA,9,14,4,35,77,289,41,18,9,NA,1709
13,Gujarat,Bhavnagar,69,NA,8,26,7,40,195,700,134,40,22,1,3294
14,Gujarat,Junagarh,49,NA,17,35,4,52,298,642,89,44,44,1,3411
15,Gujarat,Porbandar,16,NA,NA,5,NA,10,45,108,14,6,8,NA,795
