SL. No.,Category,States/U.Ts./Cities,Killed - in Dacoity Operation or Other Raids,Killed - by Riotous Mobs,Killed - by Other Criminals,Killed - on Border Duties,Killed - in Accidents,Killed - Total,Injured - in Dacoity Operation or Other Raids,Injured - by Riotous Mobs,Injured - by Other Criminals,Injured - on Border Duties,Injured - in Accidents,Injured- Total
1,State,Andhra Pradesh,NA,NA,1,4,8,13,7,74,18,4,27,130
2,State,Arunachal Pradesh,NA,NA,1,NA,NA,1,NA,3,3,NA,NA,6
3,State,Assam,3,4,NA,NA,2,9,8,33,18,NA,2,61
4,State,Bihar,1,NA,NA,NA,5,6,15,22,NA,NA,9,46
5,State,Gujarat,1,NA,2,NA,5,8,23,170,80,14,8,295
6,State,Haryana,NA,1,4,1,6,12,NA,121,4,NA,48,173
7,State,Himachal Pradesh,NA,NA,NA,NA,2,2,1,45,1,NA,2,49
8,State,Jammu & Kashmir,NA,NA,1,NA,4,5,27,51,39,NA,2,119
9,State,Karnataka,NA,4,1,NA,2,7,NA,407,55,5,6,473
10,State,Kerala,NA,NA,NA,NA,NA,NA,20,343,28,NA,35,426
11,State,Madhya Pradesh,2,4,2,NA,NA,8,12,31,30,1,3,77
12,State,Maharashtra,NA,26,7,NA,14,47,70,443,131,17,60,721
13,State,Manipur,NA,NA,2,NA,NA,2,NA,4,NA,NA,NA,4
14,State,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,State,Mizoram,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7
16,State,Nagaland,1,NA,8,NA,NA,9,1,NA,3,NA,NA,4
17,State,Orissa,NA,NA,NA,1,3,4,NA,10,8,NA,6,24
18,State,Punjab,1,NA,30,NA,51,82,1,66,20,NA,21,108
19,State,Rajasthan,NA,NA,4,1,5,10,NA,229,36,2,58,325
20,State,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,State,Tamil Nadu,NA,NA,NA,NA,6,6,38,238,30,15,17,338
22,State,Tripura,2,NA,NA,NA,NA,2,1,15,NA,NA,NA,16
23,State,Uttar Pradesh,12,1,10,1,27,51,11,108,50,31,28,228
24,State,West Bengal,NA,2,NA,NA,1,3,32,239,11,NA,9,291
Total (States),State,Total (States),23,42,73,8,141,287,267,2659,565,89,341,3921
25,UT,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
26,UT,Chandigarh,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
27,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
28,UT,Delhi,2,3,1,NA,10,16,1,165,11,2,71,250
29,UT,"Goa, Daman & Diu",NA,NA,NA,NA,1,1,NA,42,5,NA,NA,47
30,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,UT,Pondicherry,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,24
Total (UTs),UT,Total (UTs),2,3,1,NA,12,18,1,231,17,2,73,324
All India,All India,All India,25,45,74,8,153,305,268,2890,582,91,414,4245
1,City,Ahmedabad,NA,NA,NA,NA,NA,NA,6,42,13,NA,NA,61
2,City,Bangalore,NA,NA,1,NA,1,2,NA,62,25,NA,2,89
3,City,Bombay,NA,NA,1,NA,2,3,2,58,48,NA,11,119
4,City,Calcutta,NA,NA,NA,NA,NA,NA,2,46,NA,NA,NA,48
5,City,Delhi,2,2,1,NA,10,16,1,165,11,2,71,250
6,City,Hyderabad,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8
7,City,Jaipur,NA,NA,NA,NA,NA,NA,NA,20,9,NA,21,50
8,City,Kanpur,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA
9,City,Lucknow,NA,NA,NA,NA,2,2,NA,41,NA,NA,NA,41
10,City,Madras,NA,NA,NA,NA,NA,NA,8,106,14,NA,NA,128
11,City,Nagpur,NA,NA,NA,NA,NA,NA,NA,43,5,NA,NA,48
12,City,Pune,NA,NA,NA,NA,1,1,1,8,18,NA,5,32
Total (Cities),City,Total (Cities),2,3,3,1,19,28,20,599,143,2,110,874
