SL. No.,Ranks,Killed,Injured
1,Constables,201,2973
2,Head Constables,45,522
3,Assistant Sub-Inspectors,19,130
4,Sub-Inspectors,27,371
5,Inspectors,8,139
6,Other Gazetted Officers,5,110
Total,Total,305,4245
