SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1976,124569,9404,133973,7
2,1977,138532,10390,148922,7
3,1978,151187,9732,160919,6
4,1979,160310,9733,170043,5.7
5,1980,178129,9456,187585,5
6,1981,181888,8679,190567,4.6
7,1982,157664,10673,168337,6.3
8,1983,160513,11101,171614,6.5
9,1984,149755,12505,162260,7.7
10,1985,157107,11392,168499,6.8
11,1986,159977,10172,170149,6
12,Percentage Change in 1986 Over 1976,28.4,8.2,27,NA
13,Percentage Change in 1986 Over 1985,1.8,-10.7,1,NA
