,Crime Head,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,murder,2.3,2.4,2.2,2.2,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.8,1.8,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.3
1,attempt_to_commit_murder,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.5,1.3
2,c.h._not_amounting_to_murder,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
3,rape,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3
4,kidnapping_&_abduction,1.2,1.3,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.6,1.7,1.9,2.0,2.5
5,dacoity,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
6,preparation_&_assembly_for_dacoity,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
7,robbery,1.5,1.5,1.3,1.3,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.2
8,burglary,7.5,7.4,6.9,6.7,6.6,6.7,6.3,6.0,5.7,5.4,5.4,5.0,4.9,4.9,4.6,4.5,4.3,4.1,4.0,3.9,3.9
9,theft,19.7,18.6,17.4,16.7,16.1,16.2,15.4,14.6,14.3,13.9,14.3,14.9,15.0,14.6,14.3,15.1,15.3,14.8,14.7,14.1,14.1
10,riots,5.8,5.8,5.7,5.4,5.3,5.1,4.6,4.5,4.3,3.9,3.3,3.3,3.1,3.0,3.0,3.2,3.0,3.0,2.9,3.1,2.7
11,criminal_breach_of_trust,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.7
12,cheating,1.8,1.9,1.8,2.0,2.0,2.2,2.3,2.4,2.5,2.6,2.8,2.8,2.9,3.1,3.3,3.2,3.4,3.6,3.8,3.9,4.1
13,counterfeiting,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
14,arson,,,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4
15,molestation,,,1.6,1.7,1.8,1.7,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,2.7
16,sexual_harassment,,,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.5,0.5,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.5
17,other_ipc_crimes,55.4,56.5,42.6,41.8,42.2,41.8,43.3,44.0,39.6,41.0,40.8,40.4,40.7,41.5,41.7,40.9,40.8,41.5,41.5,40.5,41.3
