SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Murder,68140,2195,70335,96.9,3.1
2,Attempt to Commit Murder,60719,992,61711,98.4,1.6
3,C.H. Not Amounting to Murder,8423,212,8635,97.5,2.5
4,Rape,13838,141,13979,99,1
5,Kidnapping & Abduction,21362,1117,22479,95,5
5,I) Of Women & Girls,16619,1046,17665,94.1,5.9
5,II) Of Others,4743,71,4814,98.5,1.5
6,Dacoity,33019,456,33475,98.6,1.4
7,Preparation & Assembly for Dacoity,3940,2,3942,99.9,0.1
8,Robbery,29180,172,29352,99.4,0.6
9,Burglary,92224,1390,93614,98.5,1.5
10,Theft,218404,5576,223980,97.5,2.5
11,Riots,532546,14781,547327,97.3,2.7
12,Criminal Breach of Trust,16201,601,16802,96.4,3.6
13,Cheating,20777,499,21276,97.7,2.3
14,Counterfeiting,668,6,674,99.1,0.9
15,Other IPC Crimes,1115940,39711,1155651,96.6,3.4
16,Total Cognizable Crimes Under IPC,2235381,67851,2303232,97.1,2.9
