SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,56532,40,56572,99.9,0.1
2,Narcotic Drugs & Psychotropic Substances Act,13364,553,13917,96,4
3,Gambling Act,368986,486,369472,99.9,0.1
4,Excise Act,87869,4883,92752,94.7,5.3
5,Prohibition Act,637562,75786,713348,89.4,10.6
6,Explosive & Explosive Substances Act,6562,10,6572,99.8,0.2
7,Immoral Traffic (Prevention) Act,4262,13900,18162,23.5,76.5
8,Indian Railways Act,34932,423,35355,98.8,1.2
9,Foreigner's Registration Act,2347,360,2707,86.7,13.3
10,Protection Of Civil Rights Act,7160,285,7445,96.2,3.8
11,Indian Passport Act,797,47,844,94.4,5.6
12,Essential Commodities Act,12517,90,12607,99.3,0.7
13,Terrorist & Disruptive Activites Act,3773,10,3783,99.7,0.3
14,Antiquity & Art Treasure Act,4,1,5,80,20
15,Dowry Prohibition Act,3503,575,4078,85.9,14.1
16,Other LSL Crimes,2629735,77125,2706860,97.2,2.8
17,Total Cognizable Crimes Under LSL,3869905,174574,4044479,95.7,4.3
