SL. No.,Place of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residential Premises,6658,968.6,8574,571.7,99885,5687.9,147913,6158.2
2,Highways,989,196.9,3667,433.1,91,8.9,6772,357.6
3,River & Sea,8,1.6,50,6.9,35,2.7,516,17.8
4,Railways,126,19.9,357,18.8,338,6.9,15026,729.9
5,Banks,52,34.4,99,58.4,263,12.2,512,47
6,Commercial Establishments,157,41.7,614,73.6,5919,891.5,13338,727.1
7,Other Places,1906,313.7,9119,1205.8,22489,1114,157163,7366.6
8,Total,9896,1576.6,22480,2368.2,129020,7724.1,341240,15404.4
