SL. No.,Category,State/UT/City,Murder - 1988,Murder - 1989,Murder - Percentage Variation,Attempt to Commit Murder - 1988,Attempt to Commit Murder - 1989,Attempt to Commit Murder - Perentage Variation,C.H. Not Amounting to Murder - 1988,C.H. Not Amounting to Murder - 1989,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1988,Rape - 1989,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1988,Kidnapping & Abduction - Total - 1989,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1988,Kidnapping & Abduction - Of Women & Girls - 1989,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1988,Kidnapping & Abduction - Of Others - 1989,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1988,Dacoity - 1989,Dacoity - Percentage Variation,Preparation & Assembly for Dacoity - 1988,Preparation & Assembly for Dacoity - 1989,Preparation & Assembly for Dacoity - Percentage Variation,Robbery - 1988,Robbery - 1989,Robbery - Percentage Variation,Burglary - 1988,Burglary - 1989,Burglary - Percentage Variation,Theft - 1988,Theft - 1989,Theft - Percentage Variation,Riots - 1988,Riots - 1989,Riots - Percentage Variation,Criminal Breach of Trust - 1988,Criminal Breach of Trust - 1989,Criminal Breach of Trust - Percentage Variation,Cheating - 1988,Cheating - 1989,Cheating - Percentage Variation,Counterfeiting - 1988,Counterfeiting - 1989,Counterfeiting - Percentage Variation,Other IPC Crimes - 1988,Other IPC Crimes - 1989,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1988,Total Cognizable Crimes Under IPC - 1989,Total Cognizable Crimes Under IPC - Percentage Variation
1,State,Andhra Pradesh,2048,2299,12.3,1159,1449,25,20,70,250,545,583,7,721,744,3.2,480,491,2.3,241,253,5,430,765,77.9,2,1,-50,831,997,20,7506,7751,3.3,18840,20200,7.2,5153,5246,1.8,638,854,33.9,1787,1940,8.6,66,86,30.3,46353,55127,18.9,86099,98112,14
2,State,Arunachal Pradesh,52,43,-17.3,6,35,483.3,5,7,40,17,21,23.5,39,52,33.3,21,44,109.5,18,8,-55.6,12,32,166.7,0,0,0,39,46,17.9,260,247,-5,304,371,22,16,19,18.8,20,26,30,21,24,14.3,0,0,0,973,1079,10.9,1764,2002,13.5
3,State,Assam,848,988,16.5,313,324,3.5,18,82,355.6,404,471,16.6,941,1047,11.3,919,1001,8.9,22,46,109.1,533,703,31.9,43,20,-53.5,657,704,7.2,3593,3865,7.6,8222,8438,2.6,4748,4619,-2.7,479,521,8.8,563,552,-2,10,4,-60,16312,17161,5.2,37684,39499,4.8
4,State,Bihar,3600,3850,6.9,3699,3788,2.4,479,568,18.6,962,956,-0.6,1648,1874,13.7,1359,1414,4,289,460,59.2,3123,3188,2.1,197,306,55.3,2267,2508,10.6,9063,8641,-4.7,19423,20498,5.5,15343,15665,2.1,1472,1634,11,1420,1522,7.2,7,8,14.3,50937,49299,-3.2,113640,114305,0.6
5,State,Goa,22,21,-4.5,7,6,-14.3,8,12,50,20,16,-20,28,28,0,22,10,-54.5,6,18,200,7,6,-14.3,0,0,0,28,24,-14.3,511,523,2.3,1229,1141,-7.2,236,319,35.2,72,61,-15.3,40,70,75,5,32,540,1756,1966,12,3969,4225,6.4
6,State,Gujarat,1030,1152,11.8,487,573,17.7,9,25,177.8,168,215,28,571,719,25.9,460,603,31.1,111,116,4.5,191,245,28.3,0,0,0,806,806,0,5434,5771,6.2,19954,20299,1.7,1615,1853,14.7,1458,1374,-5.8,795,791,-0.5,64,103,60.9,55150,61268,11.1,87732,95194,8.5
7,State,Haryana,452,484,7.1,214,221,3.3,114,129,13.2,150,155,3.3,227,275,21.1,172,107,-37.8,55,168,20.5,26,18,-30.8,7,9,28.6,154,119,-22.7,1992,2645,32.8,4191,4130,-1.5,340,657,93.2,297,333,12.1,557,491,-11.8,10,10,0,16811,18656,11,25542,28332,10.9
8,State,Himachal Pradesh,92,105,14.1,44,49,11.4,16,12,-25,45,60,33.3,93,127,36.6,81,112,38.3,12,15,25,4,0,-100,0,0,0,25,29,16,790,803,1.6,738,882,19.5,329,366,11.2,112,91,-18.8,78,117,50,0,3,@,4155,4524,8.9,6521,7168,9.9
9,State,Jammu & Kashmir,111,119,7.2,368,505,37.2,10,9,-10,211,176,-16.6,525,532,1.3,523,528,1,2,4,100,17,17,0,0,0,0,26,43,65.4,1568,1651,5.3,3120,3238,3.8,1958,2306,17.8,196,151,-23,230,234,1.7,0,0,0,11528,12461,8.1,19868,21442,7.9
10,State,Karnataka,1281,1222,-4.6,357,405,13.4,48,47,-2.1,193,170,-11.9,409,433,5.9,373,285,-23.6,36,148,311.1,343,228,-33.5,0,0,0,589,493,-16.3,7671,7832,2.1,16212,16649,2.7,6659,6748,1.3,804,882,9.7,1655,1530,-7.6,373,787,111,50404,55014,9.1,86998,92440,6.3
