SL. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1979,10690,2957,27.7
2,1980,15617,3559,22.8
3,1981,16242,5341,32.9
4,1982,17657,4822,27.3
5,1983,17055,4933,28.9
6,1984,23825,6818,28.6
7,1985,22642,6712,29.6
8,1986,21925,7615,34.7
9,1987,34444,8100,23.5
10,1988,33084,9057,27.4
11,1989,33487,11287,33.7
12,Percentage Change in 1989 Over 1979,213.3,281.7,21.7
