SL. No.,Crime Head,Total Number of Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Murder,92034,4629,5,62966,68.4,24439,26.6
2,Attempt to Commit Murder,76751,3334,4.3,55447,72.2,17970,23.4
3,C.H. Not Amounting to Murder,11243,733,6.5,7824,69.6,2686,23.9
4,Rape,17617,877,5,12802,72.7,3938,22.4
5,Kidnapping & Abduction,28023,2679,9.6,18976,67.7,6368,22.7
5,I) Of Women & Girls,22484,2364,10.5,14699,65.4,5421,24.1
5,II) Of Others,5539,315,5.7,4277,77.2,947,17.1
6,Dacoity,43586,5790,13.3,24559,56.3,13237,30.4
7,Preparation & Assembly for Dacoity,5583,283,5.1,3682,66,1618,29
8,Robbery,36623,4598,12.6,24485,66.9,7540,20.6
9,Burglary,109701,11768,10.7,80634,73.5,17299,15.8
10,Theft,262761,32019,12.2,194853,74.2,35889,13.7
11,Riots,682192,46088,6.8,494786,72.5,141318,20.7
12,Criminal Breach of Trust,25417,1807,7.1,15803,62.2,7807,30.7
13,Cheating,30527,2178,7.1,18834,61.7,9515,31.2
14,Counterfeiting,1409,145,10.3,589,41.8,675,47.9
15,Other IPC Crimes,1325178,64401,4.9,1114115,84.1,146662,11.1
16,Total Cognizable Crimes Under IPC,2748645,181329,6.6,2130355,77.5,436961,15.9
