SL. No.,Crime Head,Total Number of Persons under Arrest* Including those from Previous year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Cchargesheeted - Number,Persons Cchargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Arms Act,63671,772,1.2,55005,86.4,7894,12.4
2,Narcotic Drugs & Psychotropic Substances Act,18633,365,2,13053,70.1,5215,28
3,Gambling Act,379577,2282,0.6,346318,91.2,30977,8.2
4,Excise Act,111419,7006,6.3,90378,81.1,14035,12.6
5,Prohibition Act,987899,15860,1.6,764927,77.4,207112,21
6,Explosive & Explosive Substances Act,8905,490,5.5,4093,46,4322,48.5
7,Immoral Traffic (Prevention) Act,19975,126,0.6,19072,95.5,777,3.9
8,Indian Railways Act,35890,146,0.4,35163,98,581,1.6
9,Foreigner's Registration Act,2774,22,0.8,2549,91.9,203,7.3
10,Protection Of Civil Rights Act,7888,299,3.8,6822,86.5,767,9.7
11,Indian Passport Act,1320,12,0.9,701,53.1,607,46
12,Essential Commodities Act,15128,398,2.6,11707,77.4,3023,20
13,Terrorist & Disruptive Activites Act,4789,1029,21.5,583,12.2,3177,66.3
14,Antiquity & Art Treasure Act,5,0,0,3,60,2,40
15,Dowry Prohibition Act,4941,344,7,3568,72.2,1029,20.8
16,Other LSL Crimes,2777488,42552,1.5,2663653,95.9,71283,2.6
17,Total Cognizable Crimes Under LSL,4440302,71703,1.6,4017595,90.5,351004,7.9
