SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,544,101.2,128,15.1,0,0,6,0.5,1,0.1,7,0.9,79,13.9,765,131.6
2,State,Arunachal Pradesh,25,5.6,0,0,0,0,0,0,0,0,4,1.4,3,0.4,32,7.4
3,State,Assam,461,62.3,60,28.8,0,0,3,0.4,5,1.6,23,2.4,151,25.3,703,120.9
4,State,Bihar,2324,233.9,388,52.1,5,0.6,58,6.7,17,6.7,40,9.7,356,18.2,3188,328
5,State,Goa,1,8,0,0,0,0,0,0,0,0,0,0,5,2.9,6,10.9
6,State,Gujarat,102,22.5,42,20.4,0,0,11,6.1,1,0.9,7,1.3,82,48.6,245,99.7
7,State,Haryana,9,1.4,2,3.3,0,0,0,0,0,0,0,0,7,1.3,18,6
8,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Jammu & Kashmir,17,3.7,0,0,0,0,0,0,0,0,0,0,0,0,17,3.7
10,State,Karnataka,104,21.3,14,0.9,0,0,2,0,1,10.1,9,2.4,98,17.7,228,52.4
11,State,Kerala,12,4.2,6,0.5,1,0.1,0,0,0,0,3,0.1,36,12.7,58,17.7
12,State,Madhya Pradesh,226,39.6,27,0.5,0,0,0,0,5,0.3,11,1.1,4,0.8,273,42.3
13,State,Maharashtra,272,65.5,117,30.2,2,0.9,5,1,0,0,21,7.7,287,97.1,704,202.4
14,State,Manipur,7,3.1,1,0,0,0,0,0,0,0,0,0,11,1.1,19,4.2
15,State,Meghalaya,5,0.9,8,0.9,0,0,0,0,1,1.9,0,0,5,0.5,19,4.2
16,State,Mizoram,12,1.4,1,0,0,0,0,0,0,0,0,0,1,0.1,14,1.4
17,State,Nagaland,6,0.2,1,1.2,0,0,0,0,0,0,2,1.8,4,1.8,13,4.9
18,State,Orissa,111,32.5,6,0.1,0,0,2,0.8,0,0,0,0,72,9.9,191,43.3
19,State,Punjab,26,9.9,1,1.5,0,0,1,0,0,0,1,7,8,0.5,37,18.9
20,State,Rajasthan,57,5.6,6,0.3,0,0,3,0.2,2,0.7,0,0,29,5.4,97,12.2
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,68,19.1,14,1.1,0,0,0,0,1,1,0,0,15,8.4,98,29.6
23,State,Tripura,66,1.8,12,0.3,0,0,0,0,0,0,4,0.3,13,0.3,95,2.8
24,State,Uttar Pradesh,1817,281.6,91,28.7,0,0,20,3,3,2.8,6,1.9,557,31,2494,349
25,State,West Bengal,370,30.4,64,11.1,0,0,15,1.2,15,8.2,19,3.7,81,15.5,564,70.1
Total (States),State,Total (States),6642,955.8,989,196.9,8,1.6,126,19.9,52,34.4,157,41.7,1904,313.6,9878,1563.8
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,13,11.7,0,0,0,0,0,0,0,0,0,0,0,0,13,11.7
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,3,1,0,0,0,0,0,0,0,0,0,0,2,0.1,5,1.1
Total (UTs),UT,Total (UTs),16,12.7,0,0,0,0,0,0,0,0,0,0,2,0.1,18,12.8
Total (All-India),Total (All-India),Total (All-India),6658,968.6,989,196.9,8,1.6,126,19.9,52,34.4,157,41.7,1906,313.7,9896,1576.6
33,City,Ahmedabad,2,1.8,1,0.1,0,0,0,0,0,0,3,0.1,10,0.3,16,2.3
34,City,Bangalore,9,2.8,2,0.1,0,0,0,0,0,0,1,1.8,7,6.5,19,11.1
35,City,Bombay,18,26.9,6,12.6,0,0,0,0,0,0,13,6.9,19,12.8,56,59.2
36,City,Calcutta,8,4.2,9,4.7,0,0,0,0,0,0,4,2.2,7,3.6,28,14.8
37,City,Delhi,11,99.3,0,0,0,0,0,0,0,0,0,0,0,0,11,99.3
38,City,Hyderabad,7,6.6,2,0,0,0,0,0,0,0,2,0,2,0.1,13,6.8
39,City,Jaipur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40,City,Kanpur,15,1,10,0.6,0,0,0,0,0,0,0,0,13,0.9,38,2.5
41,City,Lucknow,26,6,1,0.1,0,0,0,0,0,0,1,0.1,0,0,28,6.2
42,City,Madras,0,0.3,0,0,0,0,0,0,0,0,0,0,3,0,3,0.3
43,City,Nagpur,3,0.4,0,0,0,0,0,0,0,0,2,0.3,15,3,20,3.7
44,City,Pune,9,1.7,0,0,0,0,0,0,0,0,4,0.5,8,0.2,21,2.4
